이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20200101,,25000,,식사,일식,
20200102,,2300,,생활,편의점,CU
20200102,,2800,,생활,편의점,CU
20200102,,1000,,생활,오피스,알파
20200102,,1500,15,식사,카페,카페7그램
20200102,,6200,,식사,햄버거,맥도날드
20200103,,1500,15,식사,카페,카페7그램
20200103,,15900,159,식사,카페,카페7그램
20200104,,62800,24,쇼핑,온라인,G마켓
20200105,,14300,,식사,카페,카페디엠
20200105,,14500,,식사,레스토랑,
20200106,,5300,,식사,카페,스타벅스
20200106,,13900,,생활,오피스,다이소
20200106,,7000,,식사,순대,
20200107,,3500,,생활,편의점,CU
20200107,,1500,15,식사,카페,카페7그램
20200107,,3500,35,식사,카페,카페7그램
20200107,,4600,,생활,편의점,세븐일레븐
20200108,,3900,,식사,디저트,
20200108,,6800,,식사,카페,빅컵커피
20200108,,14000,,식사,순대,
20200109,,14000,,식사,한식,
20200109,,7000,,식사,분식,
20200110,,8000,,식사,한식,
20200110,,3900,,식사,디저트,
20200110,,30000,210,식사,돈까스,
20200111,20200120,4300,,교통,지하철 3,
20200111,,168000,,유흥,술,
20200112,,3000,,식사,카페,서기커피
20200112,,35800,,식사,햄버거,롯데리아
20200113,,4000,,생활,편의점,CU
20200113,,7000,,식사,한식,
20200114,,41600,,통신,,
20200114,,4000,,생활,편의점,세븐일레븐
20200115,,17500,,쇼핑,온라인,11번가
20200115,,4200,42,식사,카페,카페7그램
20200115,,-2000,,기타,할인,
20200115,20200120,58800,,교통,버스 21,
20200115,,7000,,식사,한식,
20200115,,3500,,생활,편의점,CU
20200116,,2500,,생활,편의점,CU
20200116,,7000,,생활,편의점,CU
20200116,,1500,15,식사,카페,카페7그램
20200117,,6700,,식사,순대,
20200117,,3900,,생활,편의점,세븐일레븐
20200117,,6600,,생활,편의점,CU
20200117,,1500,15,식사,카페,카페7그램
20200119,,2600,,생활,편의점,GS25
20200119,,13000,,식사,디저트,
20200120,,1500,15,식사,카페,카페7그램
20200120,,2000,20,식사,카페,카페7그램
20200120,,16000,,식사,한식,
20200121,,7000,,식사,한식,
20200121,,2500,,생활,편의점,CU
20200122,,1500,15,식사,카페,카페7그램
20200122,,7000,,식사,한식,
20200122,,3500,,생활,편의점,CU
20200123,,7000,,식사,분식,
20200123,,8000,,식사,카페,빽다방
20200123,,2800,,생활,편의점,세븐일레븐
20200126,,39900,,생활,마트,이케아
20200127,,34000,,식사,족발,
20200127,,35000,,쇼핑,패션,롯데프리미엄아울렛
20200127,,22200,,쇼핑,패션,롯데프리미엄아울렛
20200128,,1500,15,식사,카페,카페7그램
20200129,,3000,,생활,편의점,CU
20200129,,6300,,생활,편의점,CU
20200130,,18000,,식사,한식,
20200130,,3500,,식사,분식,
20200131,,3000,,생활,편의점,CU
20200131,,7000,,식사,한식,
20200131,20200205,56000,,교통,버스 20,
20200131,,1500,15,식사,카페,카페7그램
20200131,,4200,,식사,디저트,
