이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20190902,,7000,,식사,순대,
20190902,,1100,,생활,편의점,GS25
20190903,,1800,,생활,편의점,바이더웨이
20190903,,2000,20,식사,카페,카페7그램
20190905,,2600,,생활,편의점,바이더웨이
20190905,,1500,15,식사,카페,카페7그램
20190905,,8500,,식사,카페,빽다방
20190906,,10300,,식사,디저트,
20190906,,1700,,생활,편의점,CU
20190908,,27000,43,기타,,
20190908,,99000,158,기타,,
20190909,,4000,,의료,약국,
20190910,,2000,20,식사,카페,카페7그램
20190910,,2200,,생활,마트,이마트
20190911,,2300,,생활,편의점,CU
20190911,,41600,,통신,,
20190911,,12000,,생활,편의점,바이더웨이
20190912,,2800,,생활,마트,롯데마트
20190914,,22500,,유흥,술,
20190915,,13700,,생활,마트,홈플러스
20190915,20190918,2950,,교통,지하철 1,
20190915,20190918,42250,,교통,버스 20,
20190915,,-2000,,기타,할인,
20190915,,3000,,생활,편의점,세븐일레븐
20190915,,14000,,식사,닭강정,
20190915,,6800,,식사,카페,커피빈
20190916,,7000,,식사,순대,
20190916,,2600,,생활,편의점,바이더웨이
20190916,,3500,,식사,분식,
20190917,,7000,,식사,한식,
20190917,,2600,,생활,편의점,바이더웨이
20190917,,1500,15,식사,카페,카페7그램
20190918,,8000,,식사,한식,
20190918,,6000,,의료,약국,
20190919,,7000,,식사,레스토랑,
20190919,,6500,,식사,순대,
20190919,,3500,,식사,분식,
20190919,,1400,,생활,편의점,CU
20190920,,2300,,생활,편의점,CU
20190920,,4000,,생활,편의점,바이더웨이
20190920,,1500,15,식사,카페,카페7그램
20190920,,6500,,식사,순대,
20190920,,1500,,생활,편의점,GS25
20190921,,10430,,의료,약국,
20190921,,40000,,생활,헤어,
20190921,,5800,,의료,병원,
20190922,,34010,,식사,카페,구스띠모
20190922,,3610,,식사,카페,구스띠모
20190923,,3500,,식사,분식,
20190923,,8000,,식사,카페,빽다방
20190924,,3400,,식사,디저트,
20190924,,950,,생활,편의점,CU
20190924,,2200,,생활,마트,이마트
20190925,,1500,,생활,편의점,GS25
20190925,,6500,,식사,순대,
20190925,,1400,,생활,편의점,GS25
20190926,,2000,20,식사,카페,카페7그램
20190926,,7000,,식사,순대,
20190926,,2200,,생활,편의점,GS25
20190927,,3500,,식사,분식,
20190927,,10500,,식사,레스토랑,
20190928,,4700,,의료,병원,
20190928,,12360,,의료,약국,
20190928,,12500,,식사,카페,스타벅스
20190928,,-2500,,기타,할인,
20190928,,7500,,식사,카페,커피앤티
20190928,,4500,,식사,카페,커피앤티
20190928,,6600,,식사,햄버거,맘스터치
20190929,,3800,,식사,카페,서기커피
20190930,,1700,,생활,편의점,CU
20190930,20191004,58400,,교통,버스 24,
