이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20190401,,8800,,식사,카페,스타벅스
20190401,,2000,20,식사,카페,카페7그램
20190402,20190418,6050,,교통,지하철 4,
20190402,,-605,,기타,할인,
20190402,,2200,,생활,마트,이마트
20190403,,3000,30,식사,카페,카페7그램
20190403,,-3600,,기타,할인,
20190403,,2300,,생활,편의점,CU
20190403,,-2420,,기타,할인,
20190403,,12100,,식사,카페,스타벅스
20190403,,18000,,식사,카페,스타벅스
20190404,,1400,,생활,편의점,CU
20190404,,3500,,식사,분식,
20190405,,1800,,생활,편의점,바이더웨이
20190405,,1500,15,식사,카페,카페7그램
20190405,,2400,,생활,마트,이마트
20190406,,9900,3,쇼핑,온라인,옥션
20190407,,12600,,식사,카페,서기커피
20190407,,13500,,식사,카페,브릭스더커피
20190407,,10400,,식사,카페,서기커피
20190407,,34400,344,식사,일식,
20190407,,3200,,식사,디저트,
20190407,,8850,,식사,디저트,
20190408,,2300,23,식사,카페,카페7그램
20190408,,2000,20,식사,카페,카페7그램
20190409,,3400,,식사,디저트,
20190410,,6900,,식사,햄버거,롯데리아
20190411,,2000,,생활,편의점,CU
20190411,,3500,,식사,분식,
20190412,,2400,,생활,마트,이마트
20190412,,42000,,식사,순대,
20190412,,2000,20,식사,카페,카페7그램
20190412,,1700,,생활,편의점,CU
20190413,,49000,,쇼핑,패션,파크랜드
20190413,,9000,,쇼핑,패션,롯데프리미엄아울렛
20190413,,40600,,쇼핑,패션,롯데프리미엄아울렛
20190414,,2600,,생활,편의점,GS25
20190415,,5000,,의료,약국,
20190415,,3500,,식사,분식,
20190415,,1500,15,식사,카페,카페7그램
20190415,,3500,,생활,편의점,CU
20190415,20190418,50400,,교통,버스 21,
20190415,,-1395,,기타,할인,
20190416,,1800,,생활,편의점,바이더웨이
20190416,,3500,,식사,분식,
20190417,,1800,,생활,편의점,바이더웨이
20190417,,2800,,생활,마트,이마트
20190418,,1500,15,식사,카페,카페7그램
20190418,,3300,,식사,디저트,
20190419,,3500,,식사,분식,
20190420,,35000,,식사,구이,
20190420,,60000,,식사,한식,
20190421,,6500,,식사,카페,요거프레소
20190421,,4800,,식사,카페,요거프레소
20190422,,2000,20,식사,카페,카페7그램
20190422,,3300,,식사,디저트,
20190423,,1800,18,식사,카페,카페7그램
20190423,,3500,,식사,분식,
20190423,,6500,,식사,디저트,
20190424,,2300,,생활,편의점,CU
20190425,,1800,18,식사,카페,카페7그램
20190425,,1800,,생활,마트,이마트
20190426,20190507,1800,,교통,고속도로,
20190426,,7000,,생활,편의점,바이더웨이
20190426,,2100,,생활,편의점,바이더웨이
20190426,,9600,,교통,택시,
20190426,,2000,20,식사,카페,카페7그램
20190426,,7000,,식사,순대,
20190426,,3300,,생활,편의점,GS25
20190427,,1900,,식사,카페,스타벅스
20190427,,4100,,식사,카페,스타벅스
20190429,,1500,15,식사,카페,카페7그램
20190429,,3500,,식사,분식,
20190429,,6000,,식사,카페,빽다방
20190430,20190507,56550,,교통,버스 24,
20190430,,2000,20,식사,카페,카페7그램
