이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20201102,,5300,,생활,편의점,CU
20201102,,1500,,식사,카페,카페7그램
20201102,,7000,,유흥,술,
20201103,,2400,,생활,편의점,CU
20201103,,14000,,식사,한식,
20201103,,10000,,식사,돈까스,
20201103,,1500,,식사,카페,카페7그램
20201104,,10000,,식사,돈까스,
20201104,,7000,,식사,한식,
20201104,,1500,,생활,편의점,CU
20201105,,4000,,생활,편의점,CU
20201105,,18600,,식사,디저트,
20201106,,11000,,식사,카페,카페7그램
20201106,,7500,,식사,분식,
20201107,,5600,,생활,편의점,CU
20201107,,2600,,생활,편의점,CU
20201107,,3000,,생활,마트,웰빙마트
20201108,,68900,,쇼핑,온라인,YES24
20201108,,6900,,식사,디저트,
20201108,,4500,,식사,카페,카페7그램
20201109,,7000,,식사,한식,
20201109,,10000,,생활,편의점,세븐일레븐
20201109,,12650,,식사,디저트,
20201110,,1500,,식사,카페,카페7그램
20201110,,8500,,식사,카페,카페7그램
20201110,,2200,,생활,편의점,세븐일레븐
20201111,,9950,,생활,편의점,세븐일레븐
20201111,,32400,,식사,중식,
20201111,,20000,200,식사,구이,
20201111,,1500,,식사,카페,카페7그램
20201111,,41600,,통신,,
20201112,,13600,,식사,카페,스타벅스
20201112,,-2720,,기타,할인,
20201112,,8000,,식사,한식,
20201112,,6100,,생활,편의점,세븐일레븐
20201113,,-2500,,기타,할인,
20201113,,60000,144,문화,도서,교보문고
20201113,,8500,,식사,디저트,
20201113,,17200,,식사,순대,
20201113,,-2000,,기타,할인,
20201113,20201118,61600,,교통,버스 23,
20201113,,700,,생활,편의점,CU
20201114,,11900,,식사,피자,
20201114,,4000,,생활,마트,웰빙마트
20201116,,2800,,생활,편의점,CU
20201116,,4400,,생활,편의점,CU
20201116,,8500,,식사,카페,카페7그램
20201116,,8000,,식사,카페,빽다방
20201117,,12500,,식사,분식,
20201117,,7000,,식사,한식,
20201117,,5200,,식사,카페,스타벅스
20201118,,300,,식사,카페,스타벅스
20201118,,119000,,생활,전자,LG
20201118,,10700,,의료,병원,
20201118,,69900,,의료,병원,
20201118,,20000,,의료,병원,
20201118,,10700,,의료,병원,
20201118,,12000,,생활,전자,LG
20201119,,10000,,식사,돈까스,
20201120,,10500,,식사,순대,
20201120,,9400,,식사,디저트,
20201121,,7320,,생활,편의점,GS25
20201121,,3900,,생활,편의점,GS25
20201121,,2200,,생활,편의점,GS25
20201121,,1200,,생활,편의점,GS25
20201123,,10500,,생활,편의점,CU
20201123,,7000,,식사,카페,빽다방
20201124,,8000,,식사,한식,
20201125,,1500,,생활,편의점,CU
20201125,,9900,,식사,중식,
20201125,,26500,,식사,한식,
20201126,,2800,,생활,편의점,CU
20201126,,1500,,식사,카페,카페7그램
20201126,,7500,,식사,분식,
20201126,,3700,,생활,편의점,세븐일레븐
20201127,,9500,67,식사,돈까스,
20201130,20201203,60000,,교통,버스 22,
20201130,,8500,,식사,카페,카페7그램
20201130,,2800,,생활,편의점,CU
20201130,,7000,,식사,카페,빽다방
