이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20180401,,20000,,식사,치킨,호식이두마리
20180402,,7000,70,식사,한식,
20180403,,6500,65,식사,순대,
20180404,,6000,,식사,구이,
20180405,,7000,,식사,구이,
20180405,,24300,,식사,베트남식,
20180405,,15500,,식사,카페,투썸플레이스
20180406,,1800,,생활,편의점,세븐일레븐
20180406,,6900,,생활,마트,롯데마트
20180407,,2500,,생활,마트,홈플러스
20180408,,10000,,생활,편의점,GS25
20180408,,-500,,기타,할인,
20180408,,34000,238,식사,한식,
20180409,,6000,,식사,구이,
20180410,,9050,,생활,마트,웰빙마트
20180410,,1800,,생활,편의점,세븐일레븐
20180410,,7500,,식사,한식,
20180411,,6000,,식사,한식,
20180412,,2000,,생활,편의점,세븐일레븐
20180412,,7000,,식사,순대,
20180413,,75400,,식사,카페,커피더캠프
20180413,20180418,19250,,교통,지하철 21,
20180413,,-1925,,기타,할인,
20180413,20180418,37250,,교통,버스 20,
20180413,,-75,,기타,할인,
20180413,20180418,2100,,교통,고속도로,
20180413,20180504,3500,,교통,고속도로,
20180413,20180504,7900,,교통,고속도로,
20180413,,6000,,식사,한식,
20180414,,13000,,식사,닭강정,
20180414,,3000,,기타,,
20180415,,3900,,식사,햄버거,맥도날드
20180415,,4900,,식사,햄버거,맥도날드
20180415,,6000,,식사,카페,요거프레소
20180416,,25000,250,식사,한식,
20180417,,1700,,생활,편의점,세븐일레븐
20180417,,6500,65,식사,순대,
20180418,,6000,,식사,한식,
20180419,,2200,,생활,편의점,GS25
20180419,,4900,,생활,마트,롯데마트
20180420,,1800,,생활,편의점,세븐일레븐
20180420,,1470,1,생활,마트,우리할인마트
20180420,,5000,,식사,한식,
20180420,,10000,,식사,떡볶이,
20180421,,17000,,식사,치킨,계향치킨
20180423,,7000,,식사,구이,
20180423,,4000,,의료,약국,
20180424,,2000,,생활,편의점,세븐일레븐
20180424,,26000,,식사,한식,
20180424,,6000,,식사,한식,
20180425,,6500,,식사,중식,
20180426,,1800,,생활,편의점,세븐일레븐
20180426,,6000,,식사,한식,
20180426,,980,1,생활,마트,우리할인마트
20180427,,7000,70,식사,한식,
20180428,,27000,,식사,한식,
20180428,,3500,,식사,카페,커피앤티
20180429,,3000,,생활,마트,홈플러스
20180429,,4000,,식사,카페,아이스달달
20180430,20180504,29750,,교통,지하철 30,
20180430,20180504,45500,,교통,버스 23,
