이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20210601,,10000,,식사,일식,
20210601,,13500,,식사,한식,
20210601,,8000,,식사,카페,해머스미스
20210602,,12500,,식사,카페,빽다방
20210602,,4500,,식사,카페,해머스미스
20210603,,10000,,식사,돈까스,
20210603,,6800,,식사,햄버거,롯데리아
20210603,,2000,,생활,편의점,세븐일레븐
20210604,,5700,,식사,카페,파머스빈
20210604,,1000,,생활,편의점,세븐일레븐
20210604,,2900,,생활,편의점,CU
20210604,,16000,,식사,한식,
20210606,,9200,,식사,카페,아이스달달
20210606,,3300,,생활,마트,웰빙마트
20210607,,7000,,식사,순대,
20210607,,14000,,식사,카페,빽다방
20210607,,5500,,식사,카페,빽다방
20210607,,8000,,식사,카페,해머스미스
20210608,,1900,,식사,카페,파머스빈
20210608,,2900,,생활,편의점,CU
20210608,,20000,,식사,일식,
20210609,,21000,,식사,분식,
20210609,,10000,,식사,돈까스,
20210610,,8000,,기타,,
20210610,,8000,,식사,한식,
20210611,,7500,,식사,카페,빅컵커피
20210611,,17500,,식사,돈까스,
20210611,,5600,,식사,디저트,
20210611,,9600,,식사,카페,해머스미스
20210612,,21000,,식사,만두,
20210612,,12000,,식사,카페,아이스달달
20210613,,25000,,식사,일식,
20210614,,8300,,식사,카페,해머스미스
20210614,,2500,,생활,편의점,CU
20210614,,22500,,식사,카페,빽다방
20210615,20210618,56800,,교통,버스 21,
20210615,,-2000,,기타,할인,
20210615,,8000,,기타,,
20210615,,50000,120,문화,도서,교보문고
20210615,,-2500,,기타,할인,
20210615,,1900,,식사,카페,파머스빈
20210616,,10000,,식사,일식,
20210617,,7810,,식사,중식,
20210617,,7900,,생활,편의점,CU
20210617,,7000,,식사,카페,빽다방
20210618,,19900,,생활,편의점,CU
20210618,,8000,,식사,카페,해머스미스
20210619,20210705,2500,,교통,지하철 2,
20210619,,11900,,식사,피자,
20210619,,37000,,식사,족발,
20210619,,40000,400,생활,전자,애플
20210619,,14400,,식사,카페,아이스달달
20210621,,4800,,식사,카페,해머스미스
20210621,,24000,,기타,,
20210621,,-2500,,기타,할인,
20210621,,58540,,통신,,
20210622,,8300,,생활,편의점,CU
20210622,,6600,,식사,카페,해머스미스
20210622,,9300,,식사,카페,해머스미스
20210623,,24000,240,식사,한식,
20210623,,149000,,쇼핑,온라인,11번가
20210623,,8000,,식사,한식,
20210623,,2000,,생활,편의점,세븐일레븐
20210624,,8000,,식사,한식,
20210624,,2200,,생활,편의점,CU
20210625,,1800,,생활,편의점,CU
20210625,,11900,,생활,편의점,CU
20210625,,14280,,식사,중식,
20210626,,14000,,식사,닭강정,
20210626,,15550,,쇼핑,온라인,네이버
20210626,,22800,,생활,마트,홈플러스
20210626,,36980,,생활,마트,홈플러스
20210626,,7360,,생활,마트,롯데마트
20210626,,12400,,식사,카페,아이스달달
20210626,,39000,,쇼핑,온라인,라카이코리아
20210627,,30500,24,쇼핑,온라인,인터파크
20210628,,9200,,생활,편의점,CU
20210628,,7000,,식사,카페,해머스미스
20210629,,7000,,식사,카페,빽다방
20210630,,33000,,쇼핑,온라인,네이버
20210630,,25500,,식사,중식,
20210630,,5600,,생활,편의점,세븐일레븐
20210630,20210705,54000,,교통,버스 20,
20210630,,43010,16,쇼핑,온라인,옥션
20210630,,7000,,식사,돈까스,
20210630,,4500,,식사,카페,해머스미스
