이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20210401,,14500,,식사,돈까스,
20210401,,2000,,생활,편의점,세븐일레븐
20210401,,3500,,생활,편의점,세븐일레븐
20210402,,10700,,식사,순대,
20210402,,10100,,식사,카페,파머스빈
20210402,,14800,,식사,베트남식,
20210404,,25800,,생활,마트,홈플러스
20210404,,14000,,식사,닭강정,
20210405,,8000,,기타,,
20210405,,2000,,생활,편의점,세븐일레븐
20210405,,5200,,식사,카페,파머스빈
20210406,,32000,,식사,한식,
20210406,,66690,52,쇼핑,온라인,인터파크
20210406,,8000,,식사,한식,
20210407,,9500,,식사,카페,바나프레소
20210407,,21500,,쇼핑,온라인,라카이코리아
20210407,,7500,,식사,돈까스,
20210407,,20000,,쇼핑,온라인,네이버
20210408,,14000,,식사,한식,
20210408,,8000,,식사,한식,
20210408,,7300,,식사,카페,파머스빈
20210409,,6000,,식사,카페,빽다방
20210409,,21100,,식사,디저트,
20210409,,8000,,식사,한식,
20210410,,1000,,생활,편의점,세븐일레븐
20210410,,55000,,식사,치킨,CF숯불바베큐
20210410,,7650,,기타,,
20210412,,58100,,통신,,
20210412,,-2500,,기타,할인,
20210412,,10000,,식사,돈까스,
20210412,,31500,,식사,중식,
20210413,,7600,,식사,카페,파머스빈
20210413,,8000,,식사,한식,
20210414,,11200,,식사,카페,바나프레소
20210414,,10000,,식사,돈까스,
20210414,,4200,,생활,편의점,CU
20210415,20210420,63600,,교통,버스 23,
20210415,,-2000,,기타,할인,
20210415,,7000,,식사,분식,
20210416,,2000,,생활,편의점,CU
20210416,,2200,,생활,편의점,CU
20210416,,54500,,식사,중식,
20210417,,32000,,식사,카페,담소
20210419,,6600,,식사,카페,파머스빈
20210419,,6000,60,식사,카페,쥬스식스
20210420,,24000,,기타,,
20210420,,5700,,식사,카페,파머스빈
20210421,,21000,210,식사,일식,
20210422,,11000,,식사,카페,빽다방
20210422,,16000,,식사,한식,
20210422,,12750,,식사,디저트,
20210422,,13800,,식사,카페,해머스미스
20210423,,8300,,식사,카페,해머스미스
20210423,,8000,,식사,한식,
20210424,,5200,,생활,편의점,GS25
20210424,,48000,,식사,일식,
20210426,,8000,,식사,한식,
20210426,,7300,,식사,카페,해머스미스
20210427,,18000,,식사,돈까스,
20210427,,10300,,식사,카페,해머스미스
20210428,,3800,,생활,편의점,CU
20210428,,8000,,기타,,
20210428,,2800,,식사,카페,해머스미스
20210429,,7100,,식사,햄버거,롯데리아
20210429,,4000,,생활,편의점,세븐일레븐
20210429,,1800,,생활,편의점,세븐일레븐
20210430,20210506,60400,,교통,버스 22,
20210430,,27500,,식사,중식,
20210430,,2000,,생활,편의점,세븐일레븐
20210430,,9300,,식사,카페,해머스미스
