이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20180901,,3800,,식사,카페,스타벅스
20180901,,6300,,생활,마트,웰빙마트
20180902,,10000,,식사,카페,카페디엠
20180904,,3000,,생활,편의점,바이더웨이
20180905,,1800,,생활,편의점,바이더웨이
20180909,,3300,,식사,카페,커피베이
20180915,20180919,2950,,교통,지하철 3,
20180915,,-295,,기타,할인,
20180915,20180919,55200,,교통,버스 23,
20180915,,-1705,,기타,할인,
20180915,,28800,,식사,피자,
20180915,,7400,,생활,마트,웰빙마트
20180916,,39000,,식사,족발,
20180917,,300,,생활,SMS,
20180918,,-2500,,기타,할인,
20180918,,-29,,기타,포인트사용,
20180918,,52000,124,문화,도서,교보문고
20180920,,2300,,생활,편의점,바이더웨이
20180920,,2000,,식사,카페,쥬씨
20180922,,4000,,의료,병원,
20180922,,9900,,의료,약국,
20180922,,13000,,식사,닭강정,
20180925,,21500,,식사,한식,
20180925,,149000,,생활,마트,홈플러스
20180925,,9600,,식사,카페,탐앤탐스
20180926,,22000,,식사,구이,
20180927,20181004,11200,,교통,지하철 5,
20180928,20181004,27850,,교통,버스 14,
20180929,,8300,,의료,병원,
20180929,,3000,,생활,오피스,다이소
20180929,,4500,,의료,약국,
20180929,,2300,,생활,편의점,GS25
20180930,,8500,,식사,레스토랑,
20180930,,3300,,식사,카페,커피베이
