이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20190501,,2000,,생활,편의점,바이더웨이
20190501,,1500,15,식사,카페,카페7그램
20190501,,7000,,식사,순대,
20190502,,1400,,생활,편의점,CU
20190502,,8800,88,식사,카페,카페7그램
20190502,,3500,,식사,분식,
20190502,,14000,,식사,순대,
20190503,,2000,20,식사,카페,카페7그램
20190503,,2000,,식사,카페,빽다방
20190505,,23500,,식사,햄버거,롯데리아
20190505,,4300,,식사,카페,서기커피
20190506,,11000,17,문화,영화,CGV
20190506,,17200,,식사,햄버거,버거킹
20190506,,42000,,식사,레스토랑,
20190506,,94800,,쇼핑,패션,무인양품
20190506,,70000,,기타,,
20190507,,2000,,생활,편의점,바이더웨이
20190507,,2000,20,식사,카페,카페7그램
20190507,,2000,,생활,마트,이마트
20190508,,1500,,생활,편의점,GS25
20190508,,3500,,식사,분식,
20190508,,2000,20,식사,카페,카페7그램
20190509,,1500,15,식사,카페,카페7그램
20190509,,2000,20,식사,카페,카페7그램
20190509,,3300,,식사,디저트,
20190510,,3800,38,식사,카페,카페7그램
20190511,,5200,,문화,도서,알라딘
20190511,,53000,,기타,,
20190511,,28000,,기타,,
20190511,,94800,,생활,마트,롯데마트
20190511,,30000,,생활,마트,롯데마트
20190511,,-250,,기타,할인,
20190511,20190520,2500,,교통,지하철 2,
20190511,,9900,,생활,마트,AK
20190511,,31000,,식사,레스토랑,
20190512,,6500,,식사,카페,요거프레소
20190513,,1500,15,식사,카페,카페7그램
20190513,,3500,,식사,분식,
20190514,,5400,,식사,카페,스타벅스
20190514,,3200,,생활,마트,이마트
20190515,,31000,,식사,한식,
20190515,,1500,15,식사,카페,카페7그램
20190515,,2300,,생활,마트,이마트
20190515,20190520,53200,,교통,버스 23,
20190515,,-1750,,기타,할인,
20190516,,4000,,생활,편의점,바이더웨이
20190516,,2000,20,식사,카페,카페7그램
20190517,,1900,19,식사,카페,카페7그램
20190517,,2000,20,식사,카페,카페7그램
20190517,,3500,,식사,분식,
20190518,,11000,,생활,마트,롯데마트
20190518,,30000,,기타,,
20190518,,23000,,식사,레스토랑,
20190518,,34000,,식사,족발,
20190519,,14900,,식사,카페,서기커피
20190519,,9900,,생활,마트,홈플러스
20190520,,2000,20,식사,카페,카페7그램
20190520,,3300,,식사,디저트,
20190521,,2000,20,식사,카페,카페7그램
20190521,,3700,,생활,마트,이마트
20190522,,4000,,식사,분식,
20190522,,2000,20,식사,카페,카페7그램
20190523,,1400,,생활,마트,이마트
20190523,,3500,,식사,분식,
20190524,,2000,,생활,편의점,세븐일레븐
20190524,,2000,20,식사,카페,카페7그램
20190524,,1900,19,식사,카페,카페7그램
20190525,,5000,,생활,마트,AK
20190525,20190605,5100,,교통,지하철 4,
20190525,,6050,,식사,디저트,
20190525,,31800,,생활,마트,롯데마트
20190525,,32800,,식사,레스토랑,
20190525,,30000,,기타,,
20190525,,25000,,식사,일식,
20190525,,5800,,생활,마트,AK
20190526,,3800,,식사,카페,서기커피
20190526,,2500,,생활,마트,웰빙마트
20190526,,3000,,식사,카페,서기커피
20190526,,10000,,식사,카페,카페디엠
20190526,,3000,,식사,카페,요거프레소
20190527,,1500,15,식사,카페,카페7그램
20190527,,2400,,생활,마트,이마트
20190528,,3300,,생활,마트,이마트
20190529,,2000,20,식사,카페,카페7그램
20190529,,3500,,식사,분식,
20190529,,2300,,생활,마트,이마트
20190530,,3500,,식사,분식,
20190531,20190605,60000,,교통,버스 26,
20190531,,4700,,생활,편의점,GS25
