이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20200901,,19000,,생활,마트,홈플러스
20200901,,9700,,의료,병원,
20200901,,39300,,의료,병원,
20200901,,11000,,의료,병원,
20200901,,7500,,식사,떡,
20200901,,8000,,식사,디저트,
20200902,,10700,,의료,병원,
20200902,,3800,,의료,병원,
20200902,,249700,,의료,병원,
20200903,,2100,,생활,편의점,세븐일레븐
20200903,,-2500,,기타,할인,
20200903,,86220,206,문화,도서,교보문고
20200903,,15850,37,문화,도서,교보문고
20200903,,1500,15,식사,카페,카페7그램
20200904,,1500,15,식사,카페,카페7그램
20200904,,15000,,식사,분식,
20200904,,30700,24,쇼핑,온라인,인터파크
20200905,,4200,,의료,병원,
20200905,,5200,,의료,약국,
20200907,,8400,,생활,편의점,CU
20200907,,7700,,생활,편의점,CU
20200907,,1500,15,식사,카페,카페7그램
20200908,,8000,,식사,한식,
20200908,,3900,,생활,편의점,CU
20200909,,3900,,생활,편의점,CU
20200909,,1500,15,식사,카페,카페7그램
20200909,,24500,,식사,분식,
20200910,,41600,,통신,,
20200910,,1500,15,식사,카페,카페7그램
20200910,,8500,60,식사,돈까스,
20200911,,4200,,생활,편의점,CU
20200911,,9200,,생활,편의점,CU
20200911,,1500,15,식사,카페,카페7그램
20200911,,7000,,유흥,술,
20200912,,11070,,의료,약국,
20200912,,47200,,의료,병원,
20200914,,29000,,식사,순대,
20200914,,1500,15,식사,카페,카페7그램
20200914,,14000,,유흥,술,
20200914,,5100,,식사,카페,파머스빈
20200915,,2500,,생활,편의점,CU
20200915,,2900,,생활,편의점,CU
20200915,20200918,48000,,교통,버스 18,
20200915,,-2000,,기타,할인,
20200915,,7500,,식사,분식,
20200916,,8500,85,식사,카페,카페7그램
20200916,,14000,,유흥,술,
20200916,,4300,,생활,편의점,CU
20200917,,11500,,식사,카페,파머스빈
20200918,,3900,,생활,편의점,CU
20200918,,14000,,식사,한식,
20200918,,1500,15,식사,카페,카페7그램
20200919,,4200,,의료,병원,
20200919,,12060,,의료,약국,
20200919,,26000,,쇼핑,온라인,라카이코리아
20200919,,5000,,생활,전자,LG
20200920,,-13860,,생활,마트,홈플러스
20200920,,53490,,생활,마트,홈플러스
20200920,,13860,,생활,마트,홈플러스
20200921,,2700,,생활,편의점,CU
20200921,,1900,,생활,편의점,CU
20200921,,6200,62,식사,카페,카페7그램
20200921,,14000,,식사,순대,
20200922,,15700,,식사,햄버거,롯데리아
20200922,,105530,84,쇼핑,온라인,인터파크
20200922,,7000,,유흥,술,
20200923,,4000,,생활,편의점,세븐일레븐
20200923,,16500,,식사,분식,
20200923,,9500,,식사,햄버거,롯데리아
20200923,,1500,15,식사,카페,카페7그램
20200923,,6200,,생활,편의점,CU
20200923,,20500,,식사,햄버거,롯데리아
20200924,,1500,,생활,편의점,CU
20200924,,4500,,생활,편의점,CU
20200924,,24000,,식사,한식,
20200924,,1500,15,식사,카페,카페7그램
20200924,,22000,,식사,베트남식,
20200925,,8500,85,식사,카페,카페7그램
20200925,,11100,,생활,편의점,CU
20200925,,8500,60,식사,돈까스,
20200926,,36760,,생활,마트,웰빙마트
20200926,,13460,,의료,약국,
20200926,,128400,,의료,병원,
20200926,,19060,,의료,약국,
20200926,,-19060,,의료,약국,
20200928,,14000,,식사,한식,
20200928,,90000,72,쇼핑,온라인,인터파크
20200929,,12900,,기타,,
20200929,,10400,104,식사,카페,카페7그램
20200929,,8000,,식사,한식,
20200929,,6520,,생활,편의점,CU
20200929,20201007,52400,,교통,버스 20,
20200930,,14500,,식사,카페,전광수커피하우스
20200930,,28000,,식사,구이,
20200930,,50000,,교통,주유소,
20200930,,2000,,생활,마트,웰빙마트
