이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20210201,,1500,,식사,카페,카페7그램
20210201,,4300,,식사,카페,카페7그램
20210201,,8000,,식사,한식,
20210201,,950,,생활,편의점,세븐일레븐
20210202,,1400,,생활,편의점,CU
20210202,,33900,,식사,중식,
20210202,,12200,,식사,카페,바나프레소
20210203,,4000,,생활,오피스,다이소
20210203,,1500,,식사,카페,카페7그램
20210203,,5000,,식사,카페,카페7그램
20210203,,7500,53,식사,돈까스,
20210204,,30000,,식사,한식,
20210204,,1500,,식사,카페,카페7그램
20210204,,24500,,식사,중식,
20210205,,10000,,식사,돈까스,
20210205,,1500,,식사,카페,카페7그램
20210205,,6800,,식사,햄버거,롯데리아
20210205,,2500,,식사,햄버거,롯데리아
20210206,,2000,,생활,마트,웰빙마트
20210207,,41800,,식사,족발,
20210208,,3500,,생활,편의점,CU
20210208,,1500,,식사,카페,카페7그램
20210209,,9500,,식사,카페,카페7그램
20210209,,1900,,생활,편의점,세븐일레븐
20210210,,42500,,식사,중식,
20210210,,1500,,식사,카페,카페7그램
20210213,,3300,,생활,마트,웰빙마트
20210215,,58100,,통신,,
20210215,,-2500,,기타,할인,
20210215,20210218,50000,,교통,버스 18,
20210215,,-2000,,기타,할인,
20210215,,1500,,식사,카페,카페7그램
20210215,,5400,,식사,카페,카페7그램
20210215,,8000,,식사,카페,빽다방
20210216,,1500,,식사,카페,카페7그램
20210216,,30500,,식사,한식,
20210217,,1500,,식사,카페,카페7그램
20210218,,32000,,식사,한식,
20210219,,29700,,식사,중식,
20210219,,4900,,생활,편의점,CU
20210220,,3000,,생활,마트,웰빙마트
20210220,,11600,,식사,카페,위츠커피
20210220,,12300,,식사,카페,위츠커피
20210221,,72000,,문화,게임,
20210222,,21000,,식사,순대,
20210223,,9500,,식사,카페,카페7그램
20210223,,16000,,식사,한식,
20210224,,14000,,식사,햄버거,롯데리아
20210225,,3800,,생활,편의점,CU
20210226,,10000,,식사,카페,카페7그램
20210226,,3600,,생활,편의점,CU
20210226,20210304,49200,,교통,버스 18,
20210226,,27000,,식사,한식,
