이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20200302,,51010,,생활,마트,롯데마트
20200302,,34000,,식사,족발,
20200303,,44430,,생활,마트,홈플러스
20200309,,4800,,생활,편의점,CU
20200309,,14000,,식사,한식,
20200309,,1500,15,식사,카페,카페7그램
20200310,,1400,,생활,편의점,CU
20200310,,21000,,식사,한식,
20200310,,1500,15,식사,카페,카페7그램
20200310,,4000,40,식사,카페,카페7그램
20200310,,8000,,식사,한식,
20200310,,2600,,생활,편의점,GS25
20200311,,2500,,생활,편의점,CU
20200311,,1500,15,식사,카페,카페7그램
20200311,,22000,,식사,순대,
20200312,,44200,442,식사,카페,카페7그램
20200312,,14000,,식사,한식,
20200312,,41600,,통신,,
20200313,20200318,28000,,교통,버스 10,
20200313,,-2000,,기타,할인,
20200313,,6900,,생활,편의점,GS25
20200313,,16000,,식사,한식,
20200313,,7000,,식사,카페,바나프레소
20200314,,5000,,식사,떡,
20200314,,36854,,쇼핑,온라인,네이버
20200314,,17000,40,문화,도서,교보문고
20200314,,63000,151,문화,도서,교보문고
20200314,,-2500,,기타,할인,
20200316,,2300,,생활,편의점,CU
20200316,,1500,15,식사,카페,카페7그램
20200316,,18000,,식사,한식,
20200316,,2600,,생활,편의점,세븐일레븐
20200317,,6500,,식사,분식,
20200317,,5950,,식사,디저트,
20200317,,14000,,식사,한식,
20200317,,1500,15,식사,카페,카페7그램
20200318,,6000,,식사,카페,빽다방
20200318,,1400,,생활,편의점,GS25
20200318,,2600,,생활,편의점,세븐일레븐
20200319,,1500,15,식사,카페,카페7그램
20200319,,24000,,식사,한식,
20200320,,2800,,생활,편의점,CU
20200320,,6000,60,식사,카페,카페7그램
20200320,,7000,,식사,순대,
20200320,,3900,,생활,편의점,GS25
20200320,,14000,,식사,한식,
20200321,,77920,,생활,마트,홈플러스
20200321,,11900,,식사,피자,
20200323,,8000,,식사,한식,
20200323,,2500,,생활,편의점,CU
20200323,,1500,15,식사,카페,카페7그램
20200324,,8500,,식사,카페,빽다방
20200324,,2800,,생활,편의점,CU
20200324,,2700,,생활,편의점,CU
20200325,,18000,,식사,한식,
20200326,,29000,,식사,순대,
20200326,,7250,,식사,디저트,
20200326,,5350,,생활,편의점,GS25
20200326,,3000,,생활,편의점,GS25
20200327,,6800,,생활,편의점,CU
20200327,,4000,,생활,편의점,GS25
20200330,,1500,,생활,편의점,CU
20200330,,14000,,식사,한식,
20200330,,4500,,생활,편의점,GS25
20200330,,4300,,생활,편의점,GS25
20200331,,1500,15,식사,카페,카페7그램
20200331,,64000,,생활,전자,애플
20200331,,8000,,식사,한식,
20200331,,6000,,생활,편의점,CU
20200331,20200403,67200,,교통,버스 24,
20200331,,5500,,생활,편의점,세븐일레븐
