이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20211101,,9900,,식사,햄버거,버거킹
20211101,,2500,,의료,약국,
20211102,,1500,,식사,카페,스타벅스
20211102,,17000,,식사,구이,
20211104,,9500,,식사,일식,
20211104,,3000,,식사,카페,바나프레소
20211105,,99000,,쇼핑,온라인,네이버
20211105,,23000,,식사,돈까스,
20211105,,11000,,식사,카페,커피빈
20211107,,949000,,생활,전자,삼성
20211108,,2900,29,생활,편의점,CU
20211109,,17000,,식사,구이,
20211109,,1000,,식사,카페,바나프레소
20211110,,11600,,식사,카페,커피빈
20211111,,9400,,식사,카페,할리스
20211111,,-280,,기타,할인,
20211111,20211118,2800,,교통,버스 1,
20211111,,-2500,,기타,할인,
20211111,,57600,,통신,,
20211115,20211118,25500,,교통,지하철 18,
20211115,,-1720,,기타,할인,
20211115,,10100,,식사,디저트,
20211116,,1500,,생활,편의점,GS25
20211118,,1700,,식사,카페,스타벅스
20211119,,1700,,식사,카페,스타벅스
20211123,,500,,식사,카페,스타벅스
20211127,20211203,47100,,교통,지하철 35,
20211127,20211203,2800,,교통,버스 1,
20211127,,11900,,식사,피자,
20211127,,14000,,식사,닭강정,
20211127,,77500,,식사,한식,
20211128,,5800,,식사,카페,서기커피
20211130,,51240,,쇼핑,온라인,11번가
