이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20210103,,318770,127,쇼핑,온라인,G마켓
20210104,,2200,,생활,편의점,CU
20210104,,8500,,식사,카페,카페7그램
20210104,,6500,,식사,카페,빽다방
20210104,,27000,,식사,한식,
20210105,,2100,,생활,편의점,CU
20210105,,1500,,식사,카페,카페7그램
20210105,,6700,,식사,순대,
20210106,,3500,,식사,카페,카페7그램
20210106,,-5000,,식사,카페,카페7그램
20210106,,5000,,식사,카페,카페7그램
20210106,,1500,,식사,카페,카페7그램
20210106,,2200,,생활,편의점,CU
20210107,,8500,,식사,카페,카페7그램
20210107,,27000,,식사,한식,
20210107,,2670,,생활,편의점,세븐일레븐
20210108,,37000,,식사,중식,
20210108,,1500,,식사,카페,카페7그램
20210109,,16000,,식사,치킨,교촌치킨
20210109,,36800,,식사,족발,
20210111,,4600,,식사,카페,카페7그램
20210111,,1500,,식사,카페,카페7그램
20210111,,5000,,식사,카페,카페7그램
20210112,,8500,,식사,카페,카페7그램
20210112,,18400,,식사,순대,
20210112,,4000,,생활,편의점,GS25
20210113,,1500,,식사,카페,카페7그램
20210114,,8500,,생활,편의점,CU
20210114,,9500,,식사,중식,
20210114,,1500,,식사,카페,카페7그램
20210115,,-2000,,기타,할인,
20210115,,19000,133,식사,돈까스,
20210115,,5000,,식사,카페,카페7그램
20210115,20210120,54800,,교통,버스 20,
20210115,,1500,,식사,카페,카페7그램
20210116,,2000,,교통,휴게소,
20210116,,39000,,교통,택시,
20210116,,35000,,식사,닭강정,
20210116,,80000,,생활,마트,건어물마트
20210117,,3000,,식사,카페,투썸플레이스
20210118,,14100,,식사,햄버거,롯데리아
20210118,,2300,,생활,편의점,CU
20210118,,1500,,식사,카페,카페7그램
20210119,,2200,,생활,편의점,CU
20210119,,10000,,식사,돈까스,
20210119,,1500,,식사,카페,카페7그램
20210119,,3900,,식사,카페,카페7그램
20210120,,1500,,식사,카페,카페7그램
20210120,,3000,,생활,편의점,CU
20210120,,2000,,생활,오피스,다이소
20210120,,57570,,통신,,
20210120,,-2500,,기타,할인,
20210121,,800,,생활,편의점,CU
20210121,,25000,,식사,돈까스,
20210121,,9500,,식사,카페,카페7그램
20210121,,7000,,식사,카페,빽다방
20210122,,3000,,식사,카페,카페7그램
20210123,,28000,,식사,치킨,깐부치킨
20210123,,6620,,생활,편의점,GS25
20210125,,1500,,식사,카페,카페7그램
20210125,,13000,,생활,편의점,CU
20210125,,3000,,생활,편의점,CU
20210126,,2300,,생활,편의점,CU
20210126,,3000,,식사,카페,카페7그램
20210126,,2500,,식사,햄버거,롯데리아
20210126,,17000,119,식사,돈까스,
20210127,,9500,,식사,카페,카페7그램
20210127,,1500,,식사,카페,카페7그램
20210127,,34400,,식사,중식,
20210128,,6500,,식사,카페,빽다방
20210128,,10000,,식사,카페,카페7그램
20210128,,2300,,생활,편의점,CU
20210128,,1500,,식사,카페,카페7그램
20210129,20210203,54400,,교통,버스 20,
20210129,,1500,,식사,카페,카페7그램
20210129,,11500,,식사,카페,카페7그램
20210129,,20000,,식사,분식,
20210130,,44500,,쇼핑,온라인,네이버
20210130,,3000,,생활,마트,웰빙마트
20210131,,28000,,식사,디저트,
20210131,,10000,,식사,치킨,교촌치킨
