이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20210501,,53500,,식사,구이,
20210501,,5000,,생활,편의점,GS25
20210501,,4000,,생활,편의점,GS25
20210503,,800,,생활,편의점,CU
20210503,,26000,,식사,한식,
20210503,,4800,,식사,카페,해머스미스
20210505,,167300,66,쇼핑,온라인,G마켓
20210506,,2800,,생활,편의점,CU
20210506,,14400,,식사,카페,바나프레소
20210507,,7500,,식사,분식,
20210507,,2000,,생활,편의점,세븐일레븐
20210507,,4800,,식사,카페,해머스미스
20210507,,21300,,식사,카페,해머스미스
20210508,,11900,,식사,피자,
20210508,,2000,,생활,마트,웰빙마트
20210510,,6300,,식사,카페,해머스미스
20210510,,10000,,식사,돈까스,
20210510,,2100,,생활,편의점,CU
20210511,,18000,,식사,한식,
20210512,,8000,,기타,,
20210512,,13000,,식사,한식,
20210513,,5500,,식사,분식,
20210513,,13500,,식사,한식,
20210514,,1800,,생활,편의점,세븐일레븐
20210514,,8000,,식사,한식,
20210514,,8500,85,식사,카페,쥬스식스
20210514,,-2000,,기타,할인,
20210514,20210520,35200,,교통,버스 13,
20210514,,1800,,식사,카페,스타벅스
20210516,,33000,,쇼핑,패션,MLB
20210516,,49000,,생활,전자,삼성
20210517,,35960,28,쇼핑,온라인,인터파크
20210517,,8300,,식사,카페,해머스미스
20210518,,21000,,식사,한식,
20210518,,2400,,생활,편의점,CU
20210518,,10000,,식사,돈까스,
20210519,,85000,,식사,한식,
20210519,,214500,,식사,한식,
20210520,,58100,,통신,,
20210520,,-2500,,기타,할인,
20210520,,700,,생활,편의점,CU
20210520,,18000,180,식사,일식,
20210521,,7000,,식사,카페,해머스미스
20210522,,36400,,유흥,술,
20210522,,211000,,식사,중식,
20210523,,4000,,생활,편의점,GS25
20210524,,28500,,식사,돈까스,
20210524,,1800,,생활,편의점,세븐일레븐
20210525,,2000,,생활,편의점,세븐일레븐
20210525,,8000,,식사,카페,해머스미스
20210526,,-2500,,기타,할인,
20210526,,74880,179,문화,도서,교보문고
20210526,,8000,,기타,,
20210526,,17300,,생활,편의점,CU
20210526,,5120,12,문화,도서,교보문고
20210527,,1400,,생활,편의점,CU
20210527,,9000,,식사,중식,
20210527,,8300,,식사,카페,해머스미스
20210528,,1800,,생활,편의점,CU
20210528,,19000,,식사,일식,
20210528,,7740,,생활,마트,롯데마트
20210528,,6600,,식사,카페,해머스미스
20210529,,5000,,생활,편의점,GS25
20210530,,10000,,생활,편의점,GS25
20210530,,-500,,기타,할인,
20210531,20210603,52000,,교통,버스 19,
20210531,,8600,,생활,편의점,CU
20210531,,2800,,식사,카페,해머스미스
