이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20190103,,2000,,생활,편의점,바이더웨이
20190104,,2000,,생활,편의점,바이더웨이
20190104,,4000,,생활,편의점,바이더웨이
20190105,,14000,,식사,닭강정,
20190105,,13000,,생활,헤어,
20190106,,9800,,식사,카페,요거프레소
20190106,,-9800,,식사,카페,요거프레소
20190106,,9800,,식사,카페,요거프레소
20190109,,2100,,생활,편의점,바이더웨이
20190109,,1500,15,식사,카페,카페7그램
20190109,,40000,96,문화,도서,교보문고
20190109,,-2000,,기타,할인,
20190110,,1700,,생활,편의점,바이더웨이
20190111,,2600,,생활,편의점,바이더웨이
20190112,20190118,4200,,교통,지하철 3,
20190112,,-420,,기타,할인,
20190113,,29900,,식사,디저트,
20190115,20190118,50400,,교통,버스 21,
20190115,,-1580,,기타,할인,
20190115,,2100,,생활,편의점,바이더웨이
20190116,,3800,,생활,편의점,바이더웨이
20190117,,5400,,식사,디저트,
20190118,,2000,,생활,편의점,바이더웨이
20190119,,11000,,기타,,
20190119,,13000,,식사,카페,창의문뜰
20190119,,28000,,식사,만두,
20190119,20190208,50,,교통,지하철 1,
20190120,,50700,,식사,치킨,맛닭꼬
20190120,,178000,,쇼핑,패션,롯데프리미엄아울렛
20190120,,-178000,,쇼핑,패션,롯데프리미엄아울렛
20190121,,1700,,생활,편의점,바이더웨이
20190121,,8000,,식사,한식,
20190124,,2100,,생활,편의점,바이더웨이
20190125,,7000,,식사,순대,
20190125,,4200,,식사,디저트,
20190126,,25000,,식사,디저트,
20190126,,4000,,생활,편의점,스토리웨이
20190126,,17060,,생활,마트,롯데마트
20190127,,7500,,식사,만두,
20190127,,21500,,식사,피자,
20190127,,5000,,식사,카페,메가퀸즈
20190128,,1400,,생활,편의점,바이더웨이
20190128,,1800,,식사,카페,할리스
20190128,,3400,,식사,디저트,
20190129,,2000,,생활,편의점,바이더웨이
20190130,,2000,,생활,편의점,바이더웨이
20190130,,5700,,생활,편의점,GS25
20190131,,14000,140,식사,카페,카페7그램
20190131,20190208,66000,,교통,버스 31,
20190131,,5000,,식사,카페,바나프레소
