이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20200501,,4000,,생활,편의점,CU
20200501,,12300,,생활,편의점,GS25
20200501,,-615,,기타,할인,
20200501,,15000,,생활,편의점,세븐일레븐
20200502,,7700,,식사,카페,이디야
20200502,,25800,,식사,피자,
20200504,,16000,,식사,한식,
20200504,,8000,,식사,한식,
20200504,,14000,,생활,편의점,GS25
20200504,,-700,,기타,할인,
20200505,,6700,,식사,카페,스타벅스
20200505,,4000,,식사,카페,커피앤티
20200506,,14000,,식사,한식,
20200507,,5700,,생활,편의점,GS25
20200507,,2500,,생활,편의점,CU
20200507,,2000,20,식사,카페,카페7그램
20200508,,4500,45,식사,카페,쥬스식스
20200508,,4000,,생활,편의점,CU
20200508,,5400,,생활,편의점,CU
20200509,,8500,,생활,마트,AK
20200509,,5000,,생활,마트,AK
20200509,20200520,1550,,교통,지하철 2,
20200509,,-155,,기타,할인,
20200509,,81940,,식사,레스토랑,
20200509,,-10000,,기타,할인,
20200510,,4500,,의료,약국,
20200512,,8100,,식사,카페,파머스빈
20200512,,5000,,생활,편의점,CU
20200512,,14000,,식사,순대,
20200513,,2000,20,식사,카페,카페7그램
20200513,,19400,,식사,중식,
20200513,,7850,,생활,편의점,GS25
20200514,,1900,19,식사,카페,카페7그램
20200515,,14000,,유흥,술,
20200515,,2350,,생활,편의점,GS25
20200515,,-1845,,기타,할인,
20200515,,5000,,생활,편의점,CU
20200515,,6400,,생활,편의점,CU
20200515,20200520,67600,,교통,버스 27,
20200516,,4500,,의료,약국,
20200518,,1900,19,식사,카페,카페7그램
20200518,,22000,,식사,순대,
20200518,,13000,,식사,레스토랑,
20200519,,3300,,생활,편의점,CU
20200520,,41600,,통신,,
20200520,,8950,,생활,편의점,GS25
20200521,,9500,,생활,편의점,CU
20200522,,2500,,생활,편의점,CU
20200522,,6000,60,식사,카페,카페7그램
20200522,,10500,,식사,디저트,
20200523,,5000,,생활,편의점,GS25
20200525,,16000,,식사,한식,
20200526,,1900,19,식사,카페,카페7그램
20200526,,5000,,생활,편의점,CU
20200527,,3600,,생활,편의점,CU
20200527,,9500,95,식사,카페,쥬스식스
20200527,,14000,,유흥,술,
20200527,,6000,,생활,편의점,세븐일레븐
20200528,,18300,,식사,카페,스타벅스
20200528,,-3660,,기타,할인,
20200528,,4000,40,식사,카페,카페7그램
20200529,20200603,56000,,교통,버스 20,
20200529,,1900,19,식사,카페,카페7그램
20200529,,13700,,생활,편의점,GS25
20200529,,-685,,기타,할인,
20200529,,10200,,식사,디저트,
20200530,,5000,,생활,편의점,GS25
20200530,,6250,,생활,편의점,GS25
