이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20191201,,10000,,식사,디저트,
20191202,,21000,,식사,한식,
20191202,,2000,20,식사,카페,카페7그램
20191202,,5000,,식사,구이,
20191203,,14000,,식사,한식,
20191203,,2100,,생활,편의점,바이더웨이
20191203,,1500,15,식사,카페,카페7그램
20191204,,1500,15,식사,카페,카페7그램
20191204,,2000,20,식사,카페,카페7그램
20191205,,1500,15,식사,카페,카페7그램
20191205,,7600,,식사,디저트,
20191205,,2200,,생활,편의점,CU
20191205,,7000,,식사,한식,
20191206,,2800,,생활,편의점,CU
20191206,,3700,,생활,편의점,바이더웨이
20191206,,1500,15,식사,카페,카페7그램
20191206,,3500,,생활,편의점,GS25
20191207,,2500,,생활,편의점,세븐일레븐
20191209,,21000,,식사,한식,
20191210,,14000,,식사,한식,
20191210,,1800,,생활,편의점,바이더웨이
20191210,,2600,,생활,편의점,바이더웨이
20191211,,7500,,식사,카페,빽다방
20191211,,3500,,식사,분식,
20191211,,3500,,생활,편의점,CU
20191211,,2600,,생활,편의점,CU
20191212,,41600,,통신,,
20191212,,2500,,생활,편의점,CU
20191212,,1500,15,식사,카페,카페7그램
20191213,,2000,20,식사,카페,카페7그램
20191214,20191218,59100,,교통,버스 23,
20191214,,32900,230,식사,레스토랑,
20191214,,13500,,식사,카페,즐거운다락방
20191214,,5400,,식사,디저트,
20191214,,-735,,기타,할인,
20191214,,17560,,생활,마트,이마트
20191214,,-1265,,기타,할인,
20191214,20191218,12650,,교통,지하철 7,
20191214,,200,,식사,카페,스타벅스
20191215,,44100,,쇼핑,패션,파크랜드
20191215,,3900,,식사,햄버거,롯데리아
20191215,,17200,,식사,햄버거,롯데리아
20191215,,7600,,식사,햄버거,롯데리아
20191216,,2800,,생활,편의점,CU
20191216,,2000,20,식사,카페,카페7그램
20191217,,3000,,생활,편의점,GS25
20191217,,1500,15,식사,카페,카페7그램
20191218,,2000,20,식사,카페,카페7그램
20191218,,3400,,생활,편의점,GS25
20191219,,1500,15,식사,카페,카페7그램
20191219,,7000,,식사,순대,
20191219,,3000,,생활,편의점,CU
20191220,,16300,,의료,병원,
20191220,,8700,,의료,약국,
20191220,,7000,,식사,한식,
20191220,,7000,,식사,분식,
20191220,,7500,,생활,편의점,GS25
20191221,,-2500,,기타,할인,
20191221,,55000,,문화,도서,교보문고
20191221,,13000,,생활,헤어,
20191221,,39400,,교통,택시,
20191221,,16700,,식사,햄버거,버거킹
20191221,,69200,,유흥,술,
20191222,,6000,,식사,레스토랑,
20191222,,10260,,식사,카페,구스띠모
20191223,,1500,15,식사,카페,카페7그램
20191223,,5000,,의료,병원,
20191223,,14000,,식사,한식,
20191223,,1400,,생활,편의점,바이더웨이
20191224,,3900,,생활,편의점,GS25
20191224,,8000,,식사,한식,
20191224,,7000,,식사,순대,
20191225,,11050,,생활,오피스,다이소
20191225,,32800,,식사,레스토랑,
20191225,,6000,9,문화,영화,CGV
20191225,,14000,,식사,닭강정,
20191225,,600,,생활,편의점,세븐일레븐
20191226,20200106,6800,,교통,지하철 5,
20191226,,1500,15,식사,카페,카페7그램
20191226,,2000,20,식사,카페,카페7그램
20191227,,1500,,생활,편의점,CU
20191227,,7000,,식사,한식,
20191228,,22420,,생활,편의점,GS25
20191228,,-1000,,기타,할인,
20191228,,1800,,생활,편의점,GS25
20191228,,32600,,문화,도서,기독교서점
20191228,,1000,,생활,마트,롯데마트
20191230,,7000,,식사,한식,
20191230,,1500,,생활,편의점,CU
20191231,,14000,,식사,한식,
20191231,20200106,63050,,교통,버스 23,
20191231,,3600,,식사,카페,스타벅스
20191231,,9500,,식사,카페,빽다방
