이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20211002,,11900,,식사,피자,
20211002,,14000,,식사,닭강정,
20211005,,2800,28,생활,편의점,CU
20211005,,2400,24,생활,편의점,CU
20211005,,3200,,식사,카페,바나프레소
20211006,,5400,54,생활,편의점,CU
20211006,,3700,,식사,카페,바나프레소
20211007,,4100,,교통,기차,
20211007,,3200,,식사,카페,바나프레소
20211008,,1500,,식사,카페,스타벅스
20211009,,6200,,생활,편의점,교내편의점
20211011,,3200,,생활,편의점,GS25
20211011,,72000,,문화,게임,
20211011,,3400,34,생활,편의점,CU
20211012,,57600,,통신,,
20211012,,-2500,,기타,할인,
20211012,,42000,,기타,,
20211012,,6500,,식사,떡볶이,
20211012,,5200,,식사,카페,바나프레소
20211013,,6500,,식사,떡볶이,
20211013,,3500,,식사,카페,바나프레소
20211014,,3200,,식사,카페,바나프레소
20211014,,1500,,생활,편의점,GS25
20211015,,4000,,식사,카페,바나프레소
20211015,,2000,,교통,기차,
20211015,,-2000,,기타,할인,
20211015,20211020,32300,,교통,지하철 19,
20211016,,24000,,식사,일식,
20211016,,15990,,생활,마트,다마트
20211017,,13300,,생활,편의점,교내편의점
20211018,,2000,,식사,카페,스타벅스
20211019,,4100,,교통,기차,
20211019,,3700,,식사,카페,바나프레소
20211020,,2800,28,생활,편의점,CU
20211020,,4000,,식사,만두,
20211021,,4000,,식사,카페,바나프레소
20211022,,3200,,식사,카페,바나프레소
20211023,,28000,,식사,일식,
20211024,,11900,,식사,피자,
20211024,,8700,,생활,편의점,교내편의점
20211024,,4000,,생활,편의점,GS25
20211026,,5700,,식사,카페,바나프레소
20211027,,4700,,식사,카페,바나프레소
20211028,,5200,,식사,카페,바나프레소
20211029,20211103,32200,,교통,지하철 19,
20211029,,4200,,식사,카페,바나프레소
20211029,,6500,,식사,카페,바나프레소
20211030,,4300,,의료,병원,
20211030,,4000,,의료,약국,
