이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20200701,,1900,19,식사,카페,카페7그램
20200701,,18100,,생활,편의점,GS25
20200701,,-905,,기타,할인,
20200702,,20700,,식사,햄버거,롯데리아
20200703,,-645,,기타,할인,
20200703,,12900,,생활,편의점,GS25
20200703,,3400,,생활,편의점,GS25
20200703,,10900,,식사,카페,스타벅스
20200703,,-2180,,기타,할인,
20200706,,16000,,식사,한식,
20200707,,1900,19,식사,카페,카페7그램
20200707,,10500,105,식사,카페,카페7그램
20200707,,8200,,생활,편의점,GS25
20200707,,2400,,생활,편의점,GS25
20200708,,1500,15,식사,카페,카페7그램
20200708,,7500,75,식사,카페,카페7그램
20200708,,4100,41,식사,카페,카페7그램
20200709,,-2500,,기타,할인,
20200709,,60000,144,문화,도서,교보문고
20200709,,1400,,생활,편의점,CU
20200709,,14000,,식사,한식,
20200710,,3100,,식사,카페,스타벅스
20200710,,7000,,식사,순대,
20200711,,-1000,,기타,할인,
20200711,,5600,,생활,편의점,GS25
20200711,,23520,,생활,편의점,GS25
20200711,,4000,,생활,편의점,GS25
20200711,,8200,,생활,편의점,GS25
20200711,,-4000,,생활,편의점,GS25
20200712,,8100,,생활,편의점,GS25
20200713,,41600,,통신,,
20200713,,1500,15,식사,카페,카페7그램
20200713,,14000,,유흥,술,
20200714,,14030,,식사,디저트,
20200714,,14000,,식사,분식,
20200714,,1500,15,식사,카페,카페7그램
20200714,,3400,,생활,편의점,GS25
20200715,,1900,19,식사,카페,카페7그램
20200715,,21000,,식사,중식,
20200715,,-2000,,기타,할인,
20200715,20200720,58400,,교통,버스 22,
20200716,,8000,80,식사,카페,카페7그램
20200716,,4200,42,식사,카페,카페7그램
20200716,,34000,,식사,중식,
20200716,,2000,,생활,편의점,GS25
20200716,,2900,,식사,카페,파머스빈
20200717,,5800,,식사,카페,스타벅스
20200717,,16000,,식사,한식,
20200717,,1800,,식사,카페,스타벅스
20200718,,44920,,생활,마트,홈플러스
20200718,,8400,,식사,디저트,
20200720,,4000,,생활,편의점,CU
20200721,,1900,19,식사,카페,카페7그램
20200721,,5500,,생활,편의점,GS25
20200721,,24000,,식사,한식,
20200722,,18900,,식사,중식,
20200722,,10000,,식사,돈까스,
20200723,,20500,,식사,분식,
20200723,,1500,15,식사,카페,카페7그램
20200723,,4500,,생활,편의점,CU
20200724,,24900,,식사,디저트,
20200724,,7500,,식사,분식,
20200724,,7800,55,생활,편의점,CU
20200724,,700,,식사,카페,투썸플레이스
20200727,,18000,,식사,분식,
20200727,,1900,19,식사,카페,카페7그램
20200727,,7000,,유흥,술,
20200728,,1500,15,식사,카페,카페7그램
20200729,,6000,60,식사,카페,카페7그램
20200729,,10460,,생활,오피스,다이소
20200730,,1500,15,식사,카페,카페7그램
20200730,,14300,,식사,햄버거,롯데리아
20200730,,7600,,식사,햄버거,롯데리아
20200730,,18000,,식사,한식,
20200730,,5500,,식사,카페,바나프레소
20200731,20200805,62000,,교통,버스 23,
20200731,,1500,15,식사,카페,카페7그램
20200731,,7000,,유흥,술,
