이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20210302,,1500,,식사,카페,카페7그램
20210302,,8000,,식사,한식,
20210303,,1500,,식사,카페,카페7그램
20210303,,8000,,식사,한식,
20210304,,4000,,생활,편의점,CU
20210304,,16500,,식사,분식,
20210304,,2000,,식사,카페,카페7그램
20210305,,5500,,식사,카페,카페7그램
20210305,,8000,,식사,한식,
20210307,,37000,,식사,족발,
20210307,,3300,,생활,마트,웰빙마트
20210308,,4200,,생활,편의점,CU
20210308,,4000,,식사,카페,카페7그램
20210309,,1500,,식사,카페,카페7그램
20210309,,23500,165,식사,돈까스,
20210309,,2900,,생활,편의점,CU
20210309,,7000,,식사,돈까스,
20210310,,1500,,식사,카페,카페7그램
20210310,,17100,,식사,디저트,
20210311,,58100,,통신,,
20210311,,-2500,,기타,할인,
20210311,,3900,,생활,편의점,CU
20210311,,24000,,식사,한식,
20210312,,10500,,식사,카페,바나프레소
20210312,,8000,,식사,한식,
20210313,,13000,,생활,헤어,
20210313,,19300,,식사,햄버거,롯데리아
20210315,20210318,54800,,교통,버스 20,
20210315,,-2000,,기타,할인,
20210315,,1500,,식사,카페,카페7그램
20210315,,8000,,식사,한식,
20210315,,2000,,생활,편의점,세븐일레븐
20210316,,4500,,식사,카페,카페7그램
20210316,,3100,,생활,편의점,CU
20210316,,800,,생활,편의점,CU
20210317,,1500,,생활,편의점,CU
20210317,,4500,,식사,카페,카페7그램
20210317,,32000,,식사,한식,
20210318,,4500,,식사,카페,카페7그램
20210318,,2000,,생활,편의점,세븐일레븐
20210318,,57200,,식사,베트남식,
20210319,,10500,,식사,순대,
20210319,,8000,,식사,한식,
20210319,,4500,,식사,카페,카페7그램
20210322,,1500,,생활,편의점,CU
20210322,,3900,,생활,편의점,CU
20210322,,3600,,생활,편의점,세븐일레븐
20210323,,3500,,생활,편의점,CU
20210323,,5000,,식사,카페,빽다방
20210323,,3800,,식사,카페,파머스빈
20210324,,10300,,식사,카페,파머스빈
20210324,,10500,,식사,순대,
20210324,,8000,,식사,한식,
20210325,,18000,180,식사,일식,
20210325,,16900,,식사,햄버거,롯데리아
20210325,,20000,,식사,한식,
20210326,,10000,,식사,돈까스,
20210326,,8000,,식사,한식,
20210326,,6800,,식사,카페,파머스빈
20210329,,8000,,식사,한식,
20210330,,15000,,식사,레스토랑,
20210330,,21500,,식사,분식,
20210330,,15400,,식사,카페,바나프레소
20210330,,5200,,생활,편의점,세븐일레븐
20210331,20210405,61200,,교통,버스 23,
20210331,,1500,,식사,카페,스타벅스
20210331,,3000,,생활,편의점,CU
20210331,,13500,,식사,한식,
