이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20200801,,6000,,의료,병원,
20200801,,11320,,의료,약국,
20200801,,38400,,교통,택시,
20200803,,1500,15,식사,카페,카페7그램
20200803,,7000,,유흥,술,
20200803,,2100,,생활,편의점,세븐일레븐
20200803,,1600,,생활,편의점,세븐일레븐
20200804,,6000,60,식사,카페,카페7그램
20200804,,8000,,식사,분식,
20200804,,7000,,유흥,술,
20200805,,8000,,식사,한식,
20200805,,4900,,생활,편의점,CU
20200805,,1500,15,식사,카페,카페7그램
20200806,,4400,,생활,편의점,CU
20200806,,14000,,식사,한식,
20200806,,10000,,식사,돈까스,
20200806,,1500,15,식사,카페,카페7그램
20200806,,4500,45,식사,카페,카페7그램
20200807,,3000,30,식사,카페,카페7그램
20200807,,24000,,식사,한식,
20200808,,91690,,생활,마트,롯데마트
20200808,,-113630,,생활,마트,롯데마트
20200808,,113630,,생활,마트,롯데마트
20200808,,13160,,의료,약국,
20200808,,4200,,의료,병원,
20200808,,33500,,생활,마트,롯데마트
20200810,,1400,,생활,편의점,CU
20200810,,1500,15,식사,카페,카페7그램
20200810,,8000,,식사,카페,빽다방
20200810,,59000,,유흥,술,
20200811,,7000,,유흥,술,
20200811,,45000,450,식사,카페,카페7그램
20200811,,15000,,식사,분식,
20200811,,41600,,통신,,
20200811,,1500,15,식사,카페,카페7그램
20200812,,3900,,생활,편의점,CU
20200812,,1900,19,식사,카페,카페7그램
20200812,,10000,,식사,한식,
20200813,,1500,15,식사,카페,카페7그램
20200813,,19800,,식사,중식,
20200814,,1500,15,식사,카페,카페7그램
20200814,,2800,,생활,편의점,CU
20200814,20200820,52800,,교통,버스 20,
20200814,,-2000,,기타,할인,
20200814,,7000,,유흥,술,
20200815,,4100,,생활,편의점,GS25
20200815,,1300,,생활,편의점,교내편의점
20200815,,30000,,생활,편의점,교내편의점
20200815,,48000,480,식사,구이,
20200815,,6500,,생활,편의점,교내편의점
20200816,,3300,,생활,편의점,교내편의점
20200817,,16000,,식사,분식,
20200817,,2700,27,식사,카페,카페7그램
20200818,,24500,,식사,한식,
20200818,,1500,15,식사,카페,카페7그램
20200818,,2100,,생활,편의점,세븐일레븐
20200819,,3000,30,식사,카페,카페7그램
20200819,,7000,,유흥,술,
20200819,,5900,,생활,편의점,CU
20200820,,7000,,유흥,술,
20200820,,5600,,생활,편의점,세븐일레븐
20200820,,6100,61,식사,카페,카페7그램
20200821,,1500,15,식사,카페,카페7그램
20200821,,4000,40,식사,카페,카페7그램
20200821,,8500,60,식사,돈까스,
20200822,,5500,,생활,마트,대박집
20200822,,6000,,의료,병원,
20200822,,46370,,생활,마트,홈플러스
20200822,,5500,,의료,약국,
20200824,,7300,,생활,편의점,세븐일레븐
20200824,,1000,,생활,편의점,CU
20200824,,1400,,생활,편의점,CU
20200825,,2500,,생활,편의점,CU
20200825,,2500,,생활,편의점,CU
20200825,,1500,15,식사,카페,카페7그램
20200825,,3500,,식사,분식,
20200826,,2300,,생활,편의점,GS25
20200826,,1500,15,식사,카페,카페7그램
20200826,,7000,,식사,분식,
20200826,,7000,,유흥,술,
20200827,,4700,,생활,편의점,세븐일레븐
20200827,,7000,,유흥,술,
20200827,,1500,15,식사,카페,카페7그램
20200828,,8000,,식사,한식,
20200828,,1900,,생활,편의점,CU
20200828,,12000,,식사,카페,빽다방
20200828,,3000,,식사,카페,빽다방
20200831,,15000,,식사,분식,
20200831,,1000,,생활,편의점,세븐일레븐
20200831,20200903,58400,,교통,버스 22,
20200831,,1500,15,식사,카페,카페7그램
20200831,,2100,,생활,편의점,세븐일레븐
