이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20190601,,34800,,생활,마트,홈플러스
20190601,,17000,,식사,닭강정,
20190601,,109000,,쇼핑,온라인,쿠팡
20190602,,19500,,식사,돈까스,
20190602,,28000,,식사,족발,
20190603,,2000,20,식사,카페,카페7그램
20190603,,3500,,식사,분식,
20190603,,8000,,식사,한식,
20190604,,3400,,생활,편의점,GS25
20190604,,3900,,식사,카페,커피코트
20190605,,2000,20,식사,카페,카페7그램
20190605,,3900,,식사,카페,커피코트
20190606,,31000,,식사,카페,스타벅스
20190606,,-4000,,기타,할인,
20190606,,32000,,생활,마트,AK
20190607,,3900,,식사,디저트,
20190607,,6600,,식사,햄버거,롯데리아
20190607,,1800,,생활,편의점,바이더웨이
20190607,,1000,,생활,편의점,CU
20190607,,3600,,교통,기차,
20190608,,10000,,식사,카페,띠아모커피
20190609,,5000,,생활,편의점,GS25
20190610,,3100,,생활,편의점,CU
20190610,,1500,15,식사,카페,카페7그램
20190611,,2000,20,식사,카페,카페7그램
20190611,,11700,,식사,카페,커피코트
20190612,,2500,,생활,편의점,GS25
20190612,,3500,,식사,분식,
20190613,,5000,,생활,편의점,GS25
20190614,,1800,,생활,편의점,바이더웨이
20190614,,2000,20,식사,카페,카페7그램
20190614,,1800,,생활,편의점,미니스톱
20190614,,64200,642,유흥,술,
20190615,,5000,,생활,편의점,GS25
20190615,,25000,250,생활,전자,애플
20190615,,1000,,생활,편의점,세븐일레븐
20190615,,14000,,식사,닭강정,
20190615,20190619,45450,,교통,버스 21,
20190615,20190619,10500,,교통,지하철 8,
20190615,,-950,,기타,할인,
20190615,,-1050,,기타,할인,
20190616,,432330,172,쇼핑,온라인,옥션
20190617,,1800,,생활,편의점,바이더웨이
20190617,,2000,20,식사,카페,카페7그램
20190618,,5520,,생활,편의점,바이더웨이
20190618,,5000,,식사,카페,빽다방
20190618,,2300,,생활,마트,이마트
20190619,,16000,,식사,한식,
20190619,,3500,,식사,분식,
20190620,,3900,,식사,카페,커피코트
20190620,,2000,20,식사,카페,카페7그램
20190621,,3600,,교통,기차,
20190621,,10500,,식사,카페,스타벅스
20190621,,-2100,,기타,할인,
20190621,,2000,,생활,편의점,바이더웨이
20190621,,1500,15,식사,카페,카페7그램
20190621,,36000,360,식사,카페,카페7그램
20190621,,8500,,식사,카페,빽다방
20190622,,5000,,생활,편의점,GS25
20190622,,7400,,교통,기차,
20190622,,6420,,생활,마트,이마트
20190624,,3500,,식사,분식,
20190624,,40000,96,문화,도서,교보문고
20190624,,-2000,,기타,할인,
20190625,,2000,20,식사,카페,카페7그램
20190625,,3900,,식사,카페,커피코트
20190626,,5000,,생활,편의점,GS25
20190626,,6500,,식사,디저트,
20190627,,4500,,식사,카페,빽다방
20190627,,3600,,교통,기차,
20190627,,9500,,식사,카페,빽다방
20190628,,3600,,교통,기차,
20190628,20190703,48000,,교통,버스 20,
20190628,,7000,,식사,분식,
20190629,,5000,,생활,편의점,GS25
20190629,,2500,,생활,편의점,교내편의점
20190629,,45000,108,문화,도서,교보문고
20190629,,-3600,,교통,기차,
20190629,20190703,3850,,교통,지하철 3,
20190629,,-2250,,기타,할인,
