이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20180802,20180820,5700,,교통,지하철 2,
20180802,,-385,,기타,할인,
20180803,,6000,,생활,오피스,다이소
20180804,,32000,,식사,족발,
20180804,,4950,,식사,카페,카페베네
20180805,,5100,,생활,마트,슈퍼나라
20180805,,10000,,식사,카페,카페디엠
20180805,,7700,,식사,카페,커피베이
20180806,20180820,14600,,교통,버스 8,
20180810,,6800,,식사,카페,커피베이
20180811,,24000,,식사,중식,
20180812,,13000,,식사,한식,
20180812,,21500,,식사,베트남식,
20180813,,20000,,식사,돈까스,
20180813,,300000,,생활,마트,롯데마트
20180813,,4700,,생활,편의점,GS25
20180814,,7000,,식사,순대,
20180814,,8900,,식사,카페,투썸플레이스
20180815,,22000,,식사,일식,
20180815,,20000,,식사,돈까스,
20180815,,-760,,기타,할인,
20180815,,3000,,생활,편의점,GS25
20180815,,-855,,기타,할인,
20180815,20180820,8550,,교통,지하철 5,
20180815,20180820,7600,,교통,버스 4,
20180816,,12020,,생활,마트,홈플러스
20180816,,8000,,식사,한식,
20180816,,13000,,식사,닭강정,
20180817,,5500,,식사,카페,커피빈
20180817,,9600,,식사,카페,커피빈
20180818,,22000,,식사,치킨,호식이두마리
20180818,,2800,,식사,카페,커피베이
20180820,,5300,,식사,카페,스타벅스
20180820,,30000,,식사,한식,
20180822,,9800,,식사,순대,
20180822,,7000,,식사,카페,폴바셋
20180822,,2000,,생활,마트,홈플러스
20180823,,500000,,생활,마트,롯데마트
20180825,,5600,,식사,카페,이디야
20180825,,16000,,식사,만두,
20180826,,2400,,생활,마트,건영마트
20180826,,3000,,식사,카페,커피베이
20180828,,5300,,식사,카페,스타벅스
20180828,,4600,,식사,카페,스타벅스
20180829,,12980,,생활,마트,홈플러스
20180830,,39800,,유흥,술,
20180830,20180905,11800,,교통,지하철 7,
20180830,,6000,,식사,카페,커피빈
20180830,,4000,,식사,카페,커피빈
20180831,20180905,48000,,교통,버스 20,
