이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20201201,,4300,,생활,편의점,CU
20201201,,5000,,생활,편의점,CU
20201201,,1500,,식사,카페,카페7그램
20201202,,1600,,생활,편의점,CU
20201202,,9600,,생활,편의점,CU
20201202,,1500,,식사,카페,카페7그램
20201202,,6500,,식사,카페,빽다방
20201202,,3000,,생활,편의점,GS25
20201203,,8500,60,식사,돈까스,
20201203,,13500,,식사,분식,
20201203,,5500,,식사,카페,카페7그램
20201203,,7000,,식사,카페,카페7그램
20201204,,1500,,생활,편의점,CU
20201204,,1500,,식사,카페,카페7그램
20201204,,6500,,식사,카페,빽다방
20201204,,27000,,식사,한식,
20201205,,980,,식사,디저트,
20201207,,10000,,식사,한식,
20201207,,1500,,식사,카페,카페7그램
20201207,,19500,,식사,돈까스,
20201207,,4000,,식사,카페,카페7그램
20201208,,1800,,생활,편의점,CU
20201208,,1500,,식사,카페,카페7그램
20201208,,6700,,식사,햄버거,롯데리아
20201209,,5400,,식사,카페,카페7그램
20201209,,3500,,생활,편의점,CU
20201209,,2300,,생활,편의점,CU
20201209,,2000,,쇼핑,온라인,네이버
20201209,,2000,,쇼핑,온라인,네이버
20201210,,41600,,통신,,
20201210,,9500,67,식사,돈까스,
20201211,,800,,생활,편의점,CU
20201211,,8500,,식사,카페,카페7그램
20201211,,5500,,식사,카페,바나프레소
20201212,,3000,,생활,편의점,GS25
20201212,,30000,,식사,일식,
20201212,,3590,,생활,마트,웰빙마트
20201213,,36800,,식사,족발,
20201214,,24900,,식사,중식,
20201214,,9900,,생활,편의점,CU
20201214,,9500,,식사,카페,카페7그램
20201215,,4300,,생활,편의점,CU
20201215,20201218,59600,,교통,버스 22,
20201215,,-2000,,기타,할인,
20201215,,10400,,식사,카페,카페7그램
20201216,,2800,,교통,휴게소,
20201217,,700,,생활,편의점,CU
20201217,,8500,,식사,카페,카페7그램
20201217,,12500,,식사,카페,카페7그램
20201218,,8000,,식사,카페,카페7그램
20201218,,1800,,생활,편의점,CU
20201218,,1500,,식사,카페,카페7그램
20201219,,4900,,생활,편의점,GS25
20201221,,3700,,생활,편의점,CU
20201221,,1500,,식사,카페,카페7그램
20201222,,9500,,식사,돈까스,
20201222,,5000,,식사,카페,카페7그램
20201223,,-2500,,기타,할인,
20201223,,4500,,생활,편의점,세븐일레븐
20201223,,55000,132,문화,도서,교보문고
20201223,,2200,,생활,편의점,CU
20201224,,1500,,식사,카페,카페7그램
20201224,,10000,,식사,카페,카페7그램
20201224,,6500,,식사,카페,빽다방
20201224,,34200,,식사,순대,
20201228,,5400,,생활,편의점,CU
20201229,,1500,,식사,카페,카페7그램
20201229,,13600,,식사,햄버거,롯데리아
20201230,,8000,,식사,카페,빽다방
20201230,,2200,,생활,편의점,CU
20201230,,1500,,식사,카페,카페7그램
20201230,,2500,,식사,카페,카페7그램
20201231,,10000,,식사,돈까스,
20201231,,1500,,식사,카페,카페7그램
20201231,,1800,,생활,편의점,CU
20201231,20210106,56800,,교통,버스 21,
20201231,,11500,,식사,카페,빽다방
