이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20210701,,13000,,식사,일식,
20210701,,13500,,식사,카페,바나프레소
20210701,,9700,,식사,한식,
20210702,,1400,,생활,편의점,CU
20210702,,48000,,기타,,
20210702,,17500,,식사,디저트,
20210702,,8000,,식사,한식,
20210703,,14400,,식사,카페,아이스달달
20210703,,40000,,생활,헤어,
20210704,,10480,8,쇼핑,온라인,인터파크
20210705,,6300,,생활,편의점,CU
20210705,,26900,,쇼핑,온라인,네이버
20210705,,9800,,식사,카페,해머스미스
20210705,,18980,,식사,중식,
20210706,,8000,,식사,한식,
20210707,,8000,,식사,한식,
20210708,,15550,,식사,중식,
20210708,,35200,,교통,택시,
20210708,,3600,,생활,편의점,CU
20210708,,3500,,생활,편의점,CU
20210709,,5300,,생활,편의점,CU
20210709,,7400,,식사,햄버거,롯데리아
20210710,,17000,,식사,치킨,자담치킨
20210711,,34000,,식사,디저트,
20210712,,13000,,생활,편의점,세븐일레븐
20210712,,1300,,생활,편의점,세븐일레븐
20210712,,57600,,통신,,
20210712,,-2500,,기타,할인,
20210713,,5200,,생활,편의점,GS25
20210713,,3500,,식사,카페,바나프레소
20210714,,13000,,식사,레스토랑,
20210714,,1200,,생활,편의점,세븐일레븐
20210714,,2500,,식사,카페,해머스미스
20210714,,11600,,식사,카페,해머스미스
20210715,,9500,,식사,카페,해머스미스
20210715,,54400,,의료,병원,
20210715,,-2000,,기타,할인,
20210715,20210720,55200,,교통,버스 21,
20210715,,1900,,생활,편의점,CU
20210716,,30000,,식사,햄버거,롯데리아
20210716,,10100,,식사,카페,해머스미스
20210717,,1800,,생활,편의점,GS25
20210718,,1800,,생활,편의점,GS25
20210719,,14300,,식사,카페,해머스미스
20210720,,1700,,생활,편의점,CU
20210720,,102900,,의료,병원,
20210720,,100000,,의료,병원,
20210720,,9700,,식사,한식,
20210721,,2250,,생활,편의점,CU
20210721,,6600,,식사,카페,해머스미스
20210722,,-2500,,기타,할인,
20210722,,76500,183,문화,도서,교보문고
20210722,,-822,,기타,포인트사용,
20210722,,4500,,생활,편의점,CU
20210722,,3500,,생활,편의점,CU
20210722,20210804,3100,,교통,지하철 2,
20210723,,6700,,생활,편의점,세븐일레븐
20210723,,7400,,생활,편의점,세븐일레븐
20210723,,-7400,,생활,편의점,세븐일레븐
20210723,,10000,,생활,편의점,세븐일레븐
20210723,,8600,,식사,카페,해머스미스
20210724,,15600,,생활,마트,웰빙마트
20210726,,2150,,생활,편의점,CU
20210727,,9600,,식사,카페,해머스미스
20210727,,1700,,생활,편의점,세븐일레븐
20210729,,60000,144,문화,도서,교보문고
20210729,,-2500,,기타,할인,
20210730,,1800,,식사,카페,스타벅스
20210730,,8900,,생활,편의점,CU
20210730,20210804,45850,,교통,버스 17,
20210730,,100000,,식사,카페,스타벅스
20210730,,140000,,식사,카페,스타벅스
20210730,,3600,,생활,편의점,세븐일레븐
20210731,,3900,,의료,병원,
