이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20191001,,2200,,생활,마트,이마트
20191002,,3000,,생활,편의점,바이더웨이
20191002,,6600,,식사,햄버거,롯데리아
20191003,,4400,,의료,약국,
20191003,,5800,,의료,병원,
20191003,,17500,,식사,만두,
20191004,,2300,,생활,편의점,CU
20191004,,7000,,식사,디저트,
20191005,,24600,,문화,게임,
20191005,,5000,,문화,게임,
20191005,,41000,410,식사,구이,
20191005,,4000,,의료,병원,
20191005,,44000,,의료,병원,
20191005,,11420,,의료,약국,
20191006,,5900,,교통,택시,
20191007,,48000,,식사,한식,
20191007,,1000,,생활,편의점,CU
20191007,,3000,30,식사,카페,카페7그램
20191008,,1700,,생활,편의점,CU
20191010,,7000,,식사,한식,
20191010,,2000,,생활,편의점,CU
20191011,,41600,,통신,,
20191011,,5100,,생활,편의점,CU
20191011,,14000,,식사,한식,
20191011,,9000,,식사,카페,빅컵커피
20191011,,55500,,유흥,술,
20191012,,21400,,쇼핑,패션,롯데프리미엄아울렛
20191012,,8600,,쇼핑,패션,롯데프리미엄아울렛
20191013,,6000,,생활,편의점,미니스톱
20191014,,2000,20,식사,카페,카페7그램
20191014,,-2500,,기타,할인,
20191014,,50000,120,문화,도서,교보문고
20191014,,4000,,생활,편의점,바이더웨이
20191014,,13000,,식사,순대,
20191015,,-2000,,기타,할인,
20191015,,1700,,생활,편의점,CU
20191015,,3300,,생활,편의점,CU
20191015,20191018,50400,,교통,버스 18,
20191015,,2600,,생활,편의점,바이더웨이
20191016,,2000,20,식사,카페,카페7그램
20191016,,1700,,생활,편의점,CU
20191017,,2000,,생활,편의점,GS25
20191017,,1500,15,식사,카페,카페7그램
20191017,,1500,15,식사,카페,카페7그램
20191018,,5000,,생활,편의점,CU
20191018,,2000,20,식사,카페,카페7그램
20191018,,2500,25,식사,카페,카페7그램
20191018,,2300,23,식사,카페,카페7그램
20191020,,17200,,식사,햄버거,롯데리아
20191020,,6200,,식사,햄버거,롯데리아
20191021,,2300,,생활,편의점,CU
20191022,,2000,20,식사,카페,카페7그램
20191022,,7000,,식사,한식,
20191023,,2000,20,식사,카페,카페7그램
20191023,,4900,,식사,디저트,
20191023,,7000,,식사,순대,
20191024,,2500,,식사,햄버거,롯데리아
20191024,,2800,,생활,편의점,CU
20191024,,7000,,식사,한식,
20191024,,4000,40,식사,카페,카페7그램
20191024,,6600,,식사,햄버거,롯데리아
20191025,,6500,,식사,순대,
20191025,,2000,,생활,편의점,CU
20191026,,22000,,기타,,
20191026,,10000,,문화,공원,
20191026,,3000,,기타,,
20191026,,14200,,식사,카페,스무디킹
20191026,,31800,,식사,한식,
20191027,,19000,,식사,햄버거,롯데리아
20191028,,3800,,식사,디저트,
20191028,20191105,12150,,교통,지하철 8,
20191028,,3300,,생활,편의점,CU
20191028,,-2120,,기타,할인,
20191028,,10600,,식사,카페,스타벅스
20191029,,2500,,생활,편의점,CU
20191029,,6000,,식사,카페,커피빈
20191029,,60000,,식사,구이,
20191030,,1700,,생활,편의점,CU
20191030,,14000,,식사,한식,
20191031,,6500,,식사,카페,빽다방
20191031,,5000,,의료,약국,
20191031,20191105,74850,,교통,버스 28,
20191031,,1800,,생활,편의점,GS25
