이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20190801,,2000,,생활,편의점,바이더웨이
20190801,,3500,,식사,분식,
20190802,,12600,126,식사,카페,카페7그램
20190802,,16500,,식사,분식,
20190802,,74000,,식사,일식,
20190802,,1400,,생활,마트,이마트
20190803,,5040,8,생활,마트,이마트
20190804,,4300,,식사,카페,서기커피
20190804,,3800,,식사,카페,서기커피
20190804,,28000,,식사,닭강정,
20190805,,2000,20,식사,카페,카페7그램
20190806,,2000,20,식사,카페,카페7그램
20190807,,3500,,식사,분식,
20190808,,38000,,식사,카페,스타벅스
20190808,,-4000,,기타,할인,
20190808,,2000,,생활,편의점,바이더웨이
20190809,,2000,20,식사,카페,카페7그램
20190809,,2000,,생활,편의점,바이더웨이
20190809,,1800,,생활,편의점,바이더웨이
20190810,,16600,,식사,카페,스타벅스
20190810,,-3320,,기타,할인,
20190810,,4600,,식사,카페,스타벅스
20190810,20190820,3500,,교통,지하철 2,
20190810,,-350,,기타,할인,
20190811,,12400,,식사,햄버거,맘스터치
20190811,,4300,,식사,카페,서기커피
20190811,,15100,,식사,카페,요거프레소
20190811,,-2440,,기타,할인,
20190811,,12200,,식사,카페,스타벅스
20190811,,16500,,문화,음악,
20190811,,20030,,식사,디저트,
20190812,,2000,20,식사,카페,카페7그램
20190813,,41600,,통신,,
20190814,,2000,20,식사,카페,카페7그램
20190814,,1900,19,식사,카페,카페7그램
20190814,,2300,,생활,마트,이마트
20190814,20190820,48000,,교통,버스 20,
20190814,,-1650,,기타,할인,
20190815,,14000,,식사,닭강정,
20190815,,27000,,식사,일식,
20190816,,2000,20,식사,카페,카페7그램
20190816,,34400,344,식사,카페,카페7그램
20190816,,1800,18,식사,카페,카페7그램
20190817,,12000,,쇼핑,패션,롯데프리미엄아울렛
20190817,,43600,,쇼핑,패션,롯데프리미엄아울렛
20190818,,12600,,식사,카페,스타벅스
20190818,,-2520,,기타,할인,
20190818,,4600,,생활,편의점,미니스톱
20190818,,3000,,식사,카페,서기커피
20190819,,5000,,생활,편의점,CU
20190819,,4000,40,식사,카페,카페7그램
20190819,,2800,28,식사,카페,카페7그램
20190820,,7000,,식사,한식,
20190821,,1000,,식사,분식,
20190821,,5000,,의료,약국,
20190821,,2500,,식사,분식,
20190822,,6020,,생활,편의점,바이더웨이
20190823,,2000,20,식사,카페,카페7그램
20190823,,5000,,생활,마트,이마트
20190824,,4000,,의료,약국,
20190824,,10000,16,문화,영화,CGV
20190825,,26800,,식사,햄버거,맘스터치
20190826,,1783900,,쇼핑,온라인,11번가
20190827,,2000,20,식사,카페,카페7그램
20190828,,12000,,쇼핑,온라인,쿠팡
20190829,,4200,42,식사,카페,카페7그램
20190829,,2000,20,식사,카페,카페7그램
20190829,,14000,,식사,순대,
20190829,,26400,63,문화,도서,교보문고
20190829,,-1320,,기타,할인,
20190829,,48600,116,문화,도서,교보문고
20190829,,-2430,,기타,할인,
20190830,,4500,,식사,디저트,
20190831,20190904,60700,,교통,버스 29,
20190831,,11900,,식사,피자,
