이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20200401,,6500,,생활,편의점,CU
20200401,,23000,55,문화,도서,교보문고
20200401,,-1150,,기타,할인,
20200402,,20600,,식사,햄버거,롯데리아
20200403,,11500,,식사,디저트,
20200403,,8000,,식사,한식,
20200404,,5000,,식사,떡,
20200404,,5600,,생활,마트,웰빙마트
20200406,,21000,,식사,한식,
20200406,,7000,,식사,순대,
20200407,,10000,,식사,한식,
20200408,,8000,,식사,한식,
20200408,,6800,,생활,편의점,세븐일레븐
20200409,,24000,,식사,한식,
20200409,,1300,,생활,편의점,세븐일레븐
20200409,,2000,,생활,편의점,CU
20200410,,10400,,식사,햄버거,맥도날드
20200410,,3800,,생활,편의점,GS25
20200411,,8100,57,식사,디저트,
20200411,,18000,,식사,치킨,CF숯불바베큐
20200411,,40000,,생활,헤어,
20200411,,4000,,생활,편의점,세븐일레븐
20200413,,11000,,식사,분식,
20200414,,41600,,통신,,
20200414,20200420,56000,,교통,버스 20,
20200414,,-2000,,기타,할인,
20200414,,8000,,식사,카페,빽다방
20200414,,16000,,식사,한식,
20200415,,8220,,생활,편의점,CU
20200416,,1400,,생활,편의점,GS25
20200416,,4200,,생활,편의점,GS25
20200417,,8000,,식사,한식,
20200417,,6000,,생활,편의점,CU
20200417,,4100,,생활,편의점,GS25
20200420,,14000,,식사,순대,
20200420,,5600,,생활,편의점,GS25
20200420,,4300,,식사,카페,파머스빈
20200421,,1500,15,식사,카페,카페7그램
20200421,,11500,,생활,편의점,CU
20200421,,2400,,생활,편의점,CU
20200422,,4800,,생활,편의점,CU
20200422,,11400,,생활,편의점,GS25
20200422,,-570,,기타,할인,
20200423,,5400,,생활,편의점,GS25
20200423,,16150,,생활,편의점,GS25
20200423,,-807,,기타,할인,
20200423,,4000,,생활,편의점,CU
20200423,,1500,15,식사,카페,카페7그램
20200424,,32000,,식사,한식,
20200425,,11200,,식사,카페,스타벅스
20200425,,-2240,,기타,할인,
20200425,20200507,2250,,교통,지하철 2,
20200425,,76000,,식사,구이,
20200426,,5500,,식사,디저트,
20200426,,16000,,식사,한식,
20200426,,11800,,생활,마트,웰빙마트
20200427,,16000,,식사,한식,
20200427,,3400,,생활,편의점,CU
20200427,,3400,,생활,편의점,CU
20200428,,16000,,식사,한식,
20200429,,6700,,식사,순대,
20200429,20200507,57450,,교통,버스 21,
20200430,,12200,,생활,마트,웰빙마트
