이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20181201,,22000,,식사,치킨,호식이두마리
20181202,,18480,,생활,마트,홈플러스
20181202,20181219,5000,,교통,지하철 4,
20181202,,-500,,기타,할인,
20181205,,21000,210,식사,카페,카페7그램
20181206,,2200,,생활,편의점,GS25
20181207,,2000,,생활,편의점,바이더웨이
20181207,,2200,,생활,편의점,GS25
20181208,,102000,,식사,한식,
20181209,,13500,,식사,디저트,
20181209,,33800,,식사,일식,
20181212,,-2500,,기타,할인,
20181212,,65520,156,문화,도서,교보문고
20181212,,-420,,기타,포인트사용,
20181212,,58000,139,문화,도서,교보문고
20181212,,4480,10,문화,도서,교보문고
20181212,,-2500,,기타,할인,
20181213,,43900,439,식사,카페,카페7그램
20181213,,2200,,생활,편의점,GS25
20181214,20181219,48000,,교통,버스 20,
20181214,,-1500,,기타,할인,
20181215,,23530,,생활,마트,홈플러스
20181216,,81180,,생활,마트,홈플러스
20181216,,29500,,생활,마트,노브랜드
20181217,,300,,생활,SMS,
20181217,,7000,,식사,순대,
20181218,,2000,,생활,편의점,바이더웨이
20181218,,2000,,생활,편의점,바이더웨이
20181219,,7000,,식사,카페,빽다방
20181219,,2000,,생활,편의점,바이더웨이
20181219,,7000,70,식사,카페,카페7그램
20181220,,2300,,생활,편의점,바이더웨이
20181220,,2000,,생활,편의점,바이더웨이
20181222,,7000,,생활,마트,롯데마트
20181223,,9400,,식사,햄버거,맥도날드
20181223,,8000,,의료,약국,
20181223,,40000,,식사,한식,
20181223,,3800,,생활,편의점,GS25
20181224,,2300,,생활,편의점,바이더웨이
20181224,,1500,15,식사,카페,카페7그램
20181224,,14000,,식사,순대,
20181225,,13000,,문화,영화,CGV
20181225,,36000,,식사,레스토랑,
20181225,,6000,,식사,떡볶이,
20181225,,2000,,식사,디저트,
20181225,,3500,,생활,편의점,미니스톱
20181225,20190104,6350,,교통,지하철 5,
20181225,,13050,,식사,디저트,
20181227,,2500,,생활,편의점,CU
20181228,,2000,,생활,편의점,바이더웨이
20181229,,13000,,식사,닭강정,
20181229,,54900,,생활,마트,홈플러스
20181229,,70310,,생활,마트,홈플러스
20181229,,17500,,문화,도서,기독교서점
20181229,,28000,,식사,족발,
20181230,,12900,129,식사,카페,구스띠모
20181231,20190104,51750,,교통,버스 23,
20181231,,1300,,생활,편의점,바이더웨이
