이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20201001,,2990,,생활,마트,웰빙마트
20201002,,17100,,식사,카페,카페부부스
20201002,,18000,,식사,구이,
20201003,,2990,,생활,마트,웰빙마트
20201003,,21900,,식사,족발,
20201005,,4100,,생활,편의점,CU
20201005,,1500,15,식사,카페,카페7그램
20201005,,7000,,유흥,술,
20201006,,1900,,생활,편의점,CU
20201006,,8700,,생활,편의점,CU
20201006,,7000,,식사,한식,
20201006,,1500,15,식사,카페,카페7그램
20201007,,8500,60,식사,돈까스,
20201007,,14000,,식사,순대,
20201007,,3000,,생활,편의점,CU
20201007,,7250,,식사,디저트,
20201008,,2900,,생활,편의점,CU
20201008,,16000,,식사,한식,
20201008,,1500,15,식사,카페,카페7그램
20201009,,40900,,교통,택시,
20201010,,20570,8,쇼핑,온라인,G마켓
20201010,,16400,,식사,카페,스타벅스
20201010,,-3280,,기타,할인,
20201010,,5400,,생활,편의점,세븐일레븐
20201011,,2000,,생활,마트,웰빙마트
20201011,,36800,,식사,족발,
20201012,,7000,,유흥,술,
20201012,,2000,,생활,편의점,세븐일레븐
20201012,,4000,,의료,약국,
20201012,,21710,,통신,,
20201012,,5700,,생활,편의점,CU
20201012,,2600,,생활,편의점,CU
20201012,,1500,15,식사,카페,카페7그램
20201013,,3700,,생활,편의점,CU
20201013,,14000,,식사,한식,
20201013,,4900,,식사,햄버거,맥도날드
20201013,,56320,,쇼핑,온라인,인터파크
20201013,,-56320,,쇼핑,온라인,인터파크
20201013,,18820,,식사,디저트,
20201014,,2200,,생활,편의점,CU
20201014,,1500,15,식사,카페,카페7그램
20201015,,3800,,식사,카페,파머스빈
20201015,,5500,,식사,카페,파머스빈
20201015,,25100,,식사,순대,
20201015,,7500,,식사,분식,
20201015,,22570,8,쇼핑,온라인,G마켓
20201015,20201020,46400,,교통,버스 17,
20201015,,1500,,생활,편의점,CU
20201015,,-2000,,기타,할인,
20201016,,7000,,식사,한식,
20201016,,700,,생활,편의점,CU
20201016,,9500,,생활,편의점,CU
20201017,,7970,,생활,마트,웰빙마트
20201017,,53410,42,쇼핑,온라인,인터파크
20201017,,48590,38,쇼핑,온라인,인터파크
20201019,,1500,,생활,편의점,CU
20201019,,7000,,식사,한식,
20201019,,1500,,식사,카페,카페7그램
20201019,,10800,,생활,편의점,GS25
20201019,,-540,,기타,할인,
20201020,,10000,,식사,분식,
20201020,,10400,,식사,카페,파머스빈
20201021,,17400,,식사,순대,
20201021,,700,,생활,편의점,CU
20201021,,7000,,식사,중식,
20201021,,1500,,식사,카페,카페7그램
20201021,,2400,,생활,편의점,세븐일레븐
20201022,,4000,,생활,편의점,세븐일레븐
20201022,,1500,,식사,카페,카페7그램
20201022,,17000,119,식사,돈까스,
20201023,,1500,,생활,편의점,CU
20201023,,7000,,식사,한식,
20201023,,9900,,식사,중식,
20201023,,3900,,식사,카페,파머스빈
20201024,,1900,,생활,편의점,CU
20201024,,2400,,생활,편의점,CU
20201025,,90000,72,쇼핑,온라인,인터파크
20201026,,9000,,식사,카페,바나프레소
20201026,,6500,,식사,분식,
20201026,,3000,,생활,편의점,세븐일레븐
20201026,,-9791,,기타,포인트사용,
20201026,,5900,,식사,디저트,
20201026,,60000,144,문화,도서,교보문고
20201026,,6500,,식사,디저트,
20201026,,-2500,,기타,할인,
20201027,,4000,,식사,카페,카페7그램
20201027,,8500,60,식사,돈까스,
20201028,,14400,,식사,햄버거,롯데리아
20201028,,8500,,식사,카페,카페7그램
20201028,,950,,생활,편의점,세븐일레븐
20201028,,800,,생활,편의점,CU
20201028,,7000,,식사,한식,
20201029,,1500,,생활,편의점,CU
20201029,,1400,,생활,편의점,CU
20201029,,19000,,식사,중식,
20201029,,22000,,식사,카페,카페7그램
20201029,,8000,,식사,카페,빽다방
20201029,,5500,,식사,카페,파머스빈
20201030,,8000,,식사,한식,
20201030,,1900,,생활,편의점,CU
20201030,,5600,,생활,편의점,CU
20201030,,9000,,식사,디저트,
20201031,20201104,70800,,교통,버스 26,
20201031,,6300,,식사,카페,스타벅스
20201031,,7000,,생활,마트,웰빙마트
