이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20190301,,40000,,생활,헤어,
20190302,,9800,,식사,햄버거,맥도날드
20190303,,4300,,식사,카페,커피베이
20190303,,18000,,식사,베트남식,
20190304,,3000,30,식사,카페,카페7그램
20190305,,2000,,생활,편의점,바이더웨이
20190305,,1800,,생활,편의점,바이더웨이
20190305,,1000,,생활,편의점,바이더웨이
20190305,,12500,,식사,디저트,
20190306,,14000,,생활,편의점,바이더웨이
20190306,,14000,,생활,편의점,바이더웨이
20190306,,1500,15,식사,카페,카페7그램
20190306,,3500,,식사,분식,
20190307,,4500,45,식사,카페,카페7그램
20190308,,3300,,식사,디저트,
20190309,20190320,1350,,교통,지하철 2,
20190309,,-135,,기타,할인,
20190309,,13000,,식사,닭강정,
20190310,,3800,,식사,카페,커피베이
20190311,,1500,15,식사,카페,카페7그램
20190312,,2500,,생활,편의점,바이더웨이
20190313,,4500,,식사,디저트,
20190314,,2300,,생활,편의점,바이더웨이
20190315,20190320,52250,,교통,버스 22,
20190315,,-1865,,기타,할인,
20190315,,1800,,생활,편의점,바이더웨이
20190315,,1500,,생활,편의점,GS25
20190316,20190403,3700,,교통,지하철 2,
20190318,,-2500,,기타,할인,
20190318,,58000,139,문화,도서,교보문고
20190318,,1500,15,식사,카페,카페7그램
20190318,,2200,,생활,편의점,바이더웨이
20190318,,7000,,식사,순대,
20190319,,2500,,생활,편의점,CU
20190320,,3000,,식사,분식,
20190321,,3100,,생활,편의점,CU
20190322,,2100,,생활,편의점,바이더웨이
20190322,,2500,,생활,편의점,바이더웨이
20190322,,1500,15,식사,카페,카페7그램
20190324,,17000,,식사,만두,
20190324,,14000,,식사,닭강정,
20190324,,9800,,식사,카페,카페디엠
20190325,,4000,,식사,한식,
20190326,,1800,,생활,편의점,바이더웨이
20190326,,2100,,생활,편의점,바이더웨이
20190327,,2400,,생활,마트,이마트
20190328,,2300,,생활,편의점,CU
20190328,,40000,96,문화,도서,교보문고
20190328,,-2000,,기타,할인,
20190329,20190403,49200,,교통,버스 21,
20190329,,1500,15,식사,카페,카페7그램
20190329,,2800,,생활,편의점,GS25
20190329,,29000,69,문화,도서,교보문고
20190329,,-1450,,기타,할인,
20190329,,2200,,생활,마트,이마트
20190330,,25000,,식사,일식,
20190330,,14000,,식사,닭강정,
20190331,,2800,,식사,카페,서기커피
20190331,,3800,,식사,카페,서기커피
