이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20180201,,7000,,식사,구이,
20180202,,1700,,생활,편의점,세븐일레븐
20180202,,7000,70,식사,한식,
20180205,,4500,,식사,한식,
20180206,,2000,,생활,편의점,세븐일레븐
20180206,,7000,70,식사,한식,
20180206,,13500,,식사,닭강정,
20180207,,6500,65,식사,순대,
20180208,,2000,,생활,편의점,세븐일레븐
20180208,,7000,,식사,순대,
20180209,,5000,,식사,한식,
20180209,,8000,,교통,기차,
20180209,,5300,,교통,기차,
20180211,,13000,,식사,돈까스,
20180211,,10200,,식사,디저트,
20180212,,7000,,식사,순대,
20180213,,7500,,식사,한식,
20180213,20180221,15650,,교통,지하철 18,
20180213,,-1565,,기타,할인,
20180213,20180221,33200,,교통,버스 17,
20180213,,-435,,기타,할인,
20180214,,2000,,생활,마트,웰빙마트
20180214,,9000,,생활,마트,웰빙마트
20180214,,4900,,식사,햄버거,맥도날드
20180215,,3000,,생활,오피스,다이소
20180217,,16000,,식사,한식,
20180218,,42600,,식사,레스토랑,
20180220,,2000,,생활,편의점,세븐일레븐
20180220,,6000,,식사,한식,
20180221,,7000,70,식사,한식,
20180222,,2000,,생활,편의점,세븐일레븐
20180222,,5000,,식사,한식,
20180223,,7000,,식사,한식,
20180223,,13000,,식사,닭강정,
20180224,,5790,,생활,마트,홈플러스
20180224,,9500,,식사,카페,파스쿠찌
20180225,,6000,,식사,카페,요거프레소
20180225,,5500,,식사,떡볶이,
20180226,,6000,,식사,구이,
20180227,,2000,,생활,편의점,세븐일레븐
20180227,,117500,1175,식사,피자,
20180227,,7000,70,식사,한식,
20180228,20180306,32050,,교통,버스 17,
20180228,20180306,16500,,교통,지하철 18,
20180228,,2000,,생활,편의점,GS25
