이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20190701,,1700,,생활,편의점,CU
20190702,,3500,,식사,분식,
20190703,,176000,70,쇼핑,온라인,옥션
20190703,,1900,19,식사,카페,카페7그램
20190703,,2400,,생활,마트,이마트
20190705,,1800,,생활,편의점,바이더웨이
20190705,,1900,19,식사,카페,카페7그램
20190705,,6900,,식사,순대,
20190706,,13200,,식사,햄버거,롯데리아
20190706,,11000,,식사,카페,카페베네
20190706,,25000,,식사,일식,
20190706,,1200,,생활,편의점,GS25
20190706,,4000,,식사,떡볶이,
20190707,,17800,,식사,디저트,
20190707,,53000,,식사,한식,
20190707,,-415,,기타,할인,
20190707,20190718,4150,,교통,지하철 4,
20190708,,1900,19,식사,카페,카페7그램
20190710,,4326850,,생활,전자,애플
20190711,,2000,20,식사,카페,카페7그램
20190712,,2000,,생활,편의점,바이더웨이
20190712,,41600,,통신,,
20190712,,2000,20,식사,카페,카페7그램
20190713,,8000,,생활,마트,웰빙마트
20190713,,15000,,식사,한식,
20190714,,3500,,식사,카페,요거프레소
20190714,,2000,,식사,카페,요거프레소
20190714,,8700,,식사,햄버거,버거킹
20190714,,20200,,식사,햄버거,롯데리아
20190715,,3500,,식사,분식,
20190715,20190718,55400,,교통,버스 24,
20190715,,-1585,,기타,할인,
20190717,,3500,,생활,편의점,바이더웨이
20190717,,7200,,쇼핑,온라인,쿠팡
20190718,,2000,20,식사,카페,카페7그램
20190719,,8000,,식사,카페,아리스타커피
20190720,,11200,,식사,카페,스타벅스
20190720,,-2240,,기타,할인,
20190720,,6000,,생활,오피스,다이소
20190720,,29500,,식사,레스토랑,
20190720,,4700,,생활,마트,웰빙마트
20190720,,12900,,쇼핑,패션,스파오
20190721,,3300,,식사,카페,서기커피
20190722,,7000,,식사,순대,
20190723,,2000,20,식사,카페,카페7그램
20190725,,7000,,식사,카페,빽다방
20190725,,2300,,생활,마트,이마트
20190725,,16000,,식사,한식,
20190726,,-41600,,통신,,
20190727,,44800,448,생활,전자,애플
20190727,,6600,,식사,카페,서기커피
20190728,20190805,5250,,교통,지하철 4,
20190728,,18000,,식사,베트남식,
20190728,,18900,,식사,햄버거,롯데리아
20190729,,10200,,쇼핑,온라인,쿠팡
20190730,,3500,,생활,편의점,바이더웨이
20190730,,46000,,쇼핑,온라인,쿠팡
20190731,20190805,63650,,교통,버스 26,
20190731,,2000,20,식사,카페,카페7그램
