이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20210901,,2900,29,생활,편의점,CU
20210901,,2100,21,생활,편의점,CU
20210902,,2400,24,생활,편의점,CU
20210902,,3500,,식사,만두,
20210902,,14000,,식사,닭강정,
20210903,,5500,,식사,디저트,
20210903,,-12100,,의료,약국,
20210903,,11800,,의료,약국,
20210903,,3500,,의료,병원,
20210903,,12100,,의료,약국,
20210904,20210923,2900,,교통,버스 2,
20210904,,-290,,기타,할인,
20210904,,9800,,의료,병원,
20210906,,10700,,식사,떡볶이,
20210906,,1400,14,생활,편의점,CU
20210906,,7000,,식사,카페,바나프레소
20210907,,2900,29,생활,편의점,CU
20210907,,2800,28,생활,편의점,CU
20210908,,5000,,식사,카페,바나프레소
20210908,,7200,,식사,카페,바나프레소
20210909,,9770,3,쇼핑,온라인,옥션
20210909,,3500,,식사,한식,
20210909,,9800,,식사,카페,바나프레소
20210910,,1400,14,생활,편의점,CU
20210910,,3300,,교통,기차,
20210910,,3000,,식사,카페,바나프레소
20210911,,15000,,식사,치킨,굽네치킨
20210911,,50000,120,문화,도서,교보문고
20210911,,-2500,,기타,할인,
20210911,,24120,,쇼핑,온라인,티몬
20210912,,11900,4,쇼핑,온라인,옥션
20210913,,3200,,식사,카페,바나프레소
20210913,,3500,,식사,만두,
20210913,,2800,,교통,기차,
20210913,,-2500,,기타,할인,
20210913,,3500,35,생활,편의점,CU
20210913,,57600,,통신,,
20210914,,3100,31,생활,편의점,CU
20210914,,4000,,생활,편의점,GS25
20210915,,4200,,식사,디저트,
20210915,,-1710,,기타,할인,
20210915,,3500,,식사,한식,
20210915,,1400,14,생활,편의점,CU
20210915,20210923,38250,,교통,지하철 23,
20210916,,5000,50,생활,편의점,CU
20210916,,41100,,교통,택시,
20210916,,55000,132,문화,도서,교보문고
20210916,,-2500,,기타,할인,
20210917,,14000,,식사,닭강정,
20210917,,6400,,교통,기차,
20210917,,4000,,식사,카페,바나프레소
20210918,,17000,,식사,햄버거,롯데리아
20210918,,19100,,식사,햄버거,롯데리아
20210919,,12500,,식사,떡,
20210920,,119000,,생활,전자,애플
20210923,,16000,,식사,레스토랑,
20210923,,2800,,교통,기차,
20210923,,26000,,식사,한식,
20210923,,3200,,식사,카페,바나프레소
20210923,,6500,,식사,카페,바나프레소
20210924,,2700,,식사,카페,바나프레소
20210925,,9250,,생활,편의점,세븐일레븐
20210925,,9800,,생활,마트,노브랜드
20210928,,4500,,식사,카페,바나프레소
20210928,,6700,,식사,카페,바나프레소
20210928,,2800,,생활,편의점,GS25
20210929,,2000,,교통,기차,
20210929,,3700,,식사,카페,바나프레소
20210930,20211006,21700,,교통,지하철 13,
20210930,,3500,,식사,만두,
20210930,,3100,31,생활,편의점,CU
20210930,,7900,,생활,편의점,CU
