이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20191101,,7000,,식사,한식,
20191101,,3000,30,식사,카페,카페7그램
20191101,,2200,,생활,편의점,GS25
20191102,20191120,2500,,교통,지하철 2,
20191102,,-250,,기타,할인,
20191102,,13300,,식사,카페,커피빈
20191103,,22500,,생활,마트,홈플러스
20191103,,23810,,식사,디저트,
20191103,,3800,,식사,카페,서기커피
20191104,,31400,12,쇼핑,온라인,G마켓
20191105,,2000,20,식사,카페,카페7그램
20191107,,1700,,생활,편의점,CU
20191107,,1800,,생활,편의점,바이더웨이
20191107,,6500,,식사,순대,
20191108,,4400,,생활,편의점,바이더웨이
20191109,,4000,,의료,병원,
20191109,,10920,,의료,약국,
20191109,,62000,,식사,레스토랑,
20191109,,1700,,식사,카페,투썸플레이스
20191110,,5800,,식사,햄버거,롯데리아
20191110,,17000,,식사,햄버거,롯데리아
20191110,,32000,,식사,구이,
20191111,,2000,,생활,편의점,CU
20191111,,3800,38,식사,카페,카페7그램
20191112,,41600,,통신,,
20191112,,1700,,생활,편의점,CU
20191112,,14000,,식사,순대,
20191113,,2500,,생활,편의점,CU
20191113,,1800,,생활,편의점,바이더웨이
20191114,,1800,,생활,편의점,바이더웨이
20191114,,1500,15,식사,카페,카페7그램
20191114,,2500,,생활,편의점,CU
20191115,,3200,,생활,편의점,CU
20191115,,14000,,식사,한식,
20191115,20191120,58800,,교통,버스 21,
20191115,,-1750,,기타,할인,
20191115,,1800,,생활,편의점,바이더웨이
20191115,,10000,100,식사,카페,카페7그램
20191115,,6000,60,식사,카페,카페7그램
20191115,,2300,3,생활,편의점,위드미
20191116,,3800,,식사,디저트,
20191116,,5000,,생활,편의점,GS25
20191116,,7500,,생활,편의점,GS25
20191116,,-7500,,생활,편의점,GS25
20191117,,4590,,생활,마트,홈플러스
20191117,,25000,,교통,기차,
20191118,,1700,,생활,편의점,CU
20191118,,1500,15,식사,카페,카페7그램
20191118,,60000,144,문화,도서,교보문고
20191118,,-2500,,기타,할인,
20191119,,-2000,,기타,할인,
20191119,,1200,,식사,카페,스타벅스
20191119,,40000,96,문화,도서,교보문고
20191120,,3500,,생활,편의점,CU
20191120,,1500,15,식사,카페,카페7그램
20191121,,4500,45,식사,카페,카페7그램
20191121,,7900,,식사,햄버거,맥도날드
20191122,,2000,20,식사,카페,카페7그램
20191122,,3500,,식사,분식,
20191122,,7000,,식사,한식,
20191122,,2000,20,식사,카페,카페7그램
20191123,,7500,,생활,편의점,GS25
20191123,,23300,,식사,치킨,티바두마리치킨
20191123,,12100,,생활,편의점,GS25
20191123,,-605,,기타,할인,
20191124,,20000,,식사,디저트,
20191124,,3780,,생활,편의점,GS25
20191125,,5800,,생활,편의점,바이더웨이
20191125,,3800,38,식사,카페,카페7그램
20191126,,1800,,생활,편의점,바이더웨이
20191126,,2300,,생활,편의점,바이더웨이
20191126,,4900,,식사,디저트,
20191127,,14000,,식사,한식,
20191128,,7000,,식사,순대,
20191129,,7000,,식사,레스토랑,
20191129,20191204,60150,,교통,버스 22,
20191129,,3800,38,식사,카페,카페7그램
20191130,,6500,,생활,편의점,GS25
20191130,,3600,,생활,편의점,GS25
20191130,20191204,11150,,교통,지하철 5,
20191130,,1700,,생활,편의점,GS25
