이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20200602,,13500,,생활,편의점,CU
20200603,,14700,,생활,편의점,세븐일레븐
20200603,,27600,,생활,편의점,세븐일레븐
20200603,,1900,19,식사,카페,카페7그램
20200603,,12400,,생활,편의점,GS25
20200603,,-620,,기타,할인,
20200603,,23500,,식사,치킨,잉치킨
20200604,,4900,,식사,디저트,
20200604,,3500,,식사,카페,파머스빈
20200604,20200618,6800,,교통,지하철 4,
20200605,,1000,,생활,편의점,CU
20200605,,7000,,유흥,술,
20200606,,7620,,생활,편의점,GS25
20200606,,49000,,식사,치킨,깐부치킨
20200607,,7500,,생활,편의점,GS25
20200608,,14000,,식사,한식,
20200608,,7000,,생활,편의점,GS25
20200609,,5700,,생활,편의점,GS25
20200609,,2000,,생활,편의점,GS25
20200610,,4000,40,식사,카페,카페7그램
20200610,,1900,19,식사,카페,카페7그램
20200610,,8800,,생활,편의점,CU
20200611,,64270,,통신,,
20200611,,-2500,,기타,할인,
20200611,,4500,45,식사,카페,쥬스식스
20200611,,17000,,생활,편의점,GS25
20200611,,-850,,기타,할인,
20200612,,1500,,생활,편의점,CU
20200612,,24000,,식사,한식,
20200613,,1000,,교통,기차,
20200613,,2200,,교통,기차,
20200614,,22000,,식사,디저트,
20200614,,1000,,교통,기차,
20200615,20200618,54250,,교통,버스 21,
20200615,,-2000,,기타,할인,
20200615,,1900,19,식사,카페,카페7그램
20200615,,14000,,유흥,술,
20200616,,3900,39,식사,카페,카페7그램
20200616,,32900,,식사,중식,
20200616,,7500,,식사,카페,파머스빈
20200617,,-520,,기타,할인,
20200617,,10400,,생활,편의점,GS25
20200617,,19800,,생활,편의점,GS25
20200617,,-990,,기타,할인,
20200618,,4100,,생활,편의점,CU
20200618,,1900,19,식사,카페,카페7그램
20200618,,3200,,생활,편의점,세븐일레븐
20200619,,3700,,생활,편의점,세븐일레븐
20200619,,1900,19,식사,카페,카페7그램
20200619,,5100,,식사,카페,스타벅스
20200619,,2000,20,식사,카페,카페7그램
20200619,,-2060,,기타,할인,
20200619,,10300,,식사,카페,스타벅스
20200619,,4100,,식사,카페,스타벅스
20200620,20200703,2450,,교통,지하철 1,
20200620,,11900,,식사,피자,
20200620,,18000,,식사,치킨,CF숯불바베큐
20200620,,7800,18,문화,도서,교보문고
20200620,,5000,,생활,편의점,GS25
20200620,,38340,92,문화,도서,교보문고
20200620,,-1917,,기타,할인,
20200621,,105800,,쇼핑,패션,탑텐
20200621,,8250,,생활,마트,웰빙마트
20200621,,88500,,생활,마트,농협
20200622,,4500,,생활,편의점,CU
20200622,,1900,19,식사,카페,카페7그램
20200622,,10550,,생활,편의점,GS25
20200622,,-527,,기타,할인,
20200623,,1900,19,식사,카페,카페7그램
20200623,,800,,생활,편의점,GS25
20200624,,14000,,식사,순대,
20200624,,7500,,식사,카페,파머스빈
20200625,,1900,19,식사,카페,카페7그램
20200625,,7100,,생활,편의점,세븐일레븐
20200626,,19400,,생활,편의점,CU
20200626,,2000,20,식사,카페,카페7그램
20200626,,14000,,유흥,술,
20200628,,19500,,생활,마트,웰빙마트
20200629,,3600,,생활,편의점,세븐일레븐
20200630,,1900,19,식사,카페,카페7그램
20200630,20200703,58400,,교통,버스 22,
20200630,,14000,,유흥,술,
