이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20181101,,6000,,의료,약국,
20181102,,2000,,생활,편의점,바이더웨이
20181103,,4000,,의료,병원,
20181103,,10920,,의료,약국,
20181103,,5700,,식사,디저트,
20181106,,1800,,생활,편의점,GS25
20181109,,4000,,생활,편의점,바이더웨이
20181109,,9800,,생활,편의점,GS25
20181110,,28320,,생활,마트,홈플러스
20181110,,8700,,생활,마트,홈플러스
20181110,,13000,,생활,헤어,
20181111,,5000,,식사,카페,카페디엠
20181111,,1500,,생활,편의점,GS25
20181111,,44000,,식사,구이,
20181113,,2000,,생활,편의점,GS25
20181115,20181120,52800,,교통,버스 22,
20181115,,300,,생활,SMS,
20181115,,4000,,식사,햄버거,맥도날드
20181117,,9900,,생활,마트,홈플러스
20181117,,22000,,식사,치킨,호식이두마리
20181118,,5000,,생활,오피스,다이소
20181118,,6800,,식사,햄버거,맘스터치
20181118,,8900,,식사,피자,
20181119,,2000,,생활,편의점,바이더웨이
20181122,,1200,,생활,편의점,바이더웨이
20181123,,24000,,식사,일식,
20181123,,2000,,생활,편의점,GS25
20181124,,30000,,식사,디저트,
20181125,,10000,,식사,떡볶이,
20181125,,3000,,식사,카페,커피베이
20181127,,1800,,생활,편의점,GS25
20181130,,2000,,식사,카페,빽다방
20181130,,35000,,식사,순대,
20181130,20181205,52800,,교통,버스 22,
20181130,,3870,,생활,편의점,GS25
