이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20181003,,22000,,식사,치킨,호식이두마리
20181003,,5100,,생활,편의점,포유25시
20181006,,14020,,생활,마트,홈플러스
20181006,20181018,5000,,교통,지하철 4,
20181006,,-500,,기타,할인,
20181006,,36000,,식사,족발,
20181006,,8650,86,식사,카페,구스띠모
20181006,,26000,,식사,중식,
20181007,,5800,,생활,마트,웰빙마트
20181007,,18000,,식사,돈까스,
20181013,,13000,,식사,닭강정,
20181015,20181018,45700,,교통,버스 20,
20181015,,-1500,,기타,할인,
20181015,,300,,생활,SMS,
20181020,,29000,,식사,돈까스,
20181021,,28000,,식사,족발,
20181027,,12500,,식사,떡볶이,
20181029,,2600,,생활,편의점,바이더웨이
20181031,20181105,60200,,교통,버스 27,
