이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20210801,,13600,,식사,카페,아이스달달
20210802,,4900,,생활,편의점,CU
20210802,,2800,,생활,편의점,CU
20210802,,8500,,식사,카페,해머스미스
20210804,,-100000,,의료,병원,
20210805,,3776730,,의료,병원,
20210805,,21000,,의료,약국,
20210807,,10500,,의료,병원,
20210807,,10000,,식사,만두,
20210809,,14500,,식사,만두,
20210809,,9800,,의료,병원,
20210809,,7100,,의료,약국,
20210810,,9800,,의료,병원,
20210810,,61000,,쇼핑,온라인,네이버
20210811,,65300,,통신,,
20210811,,-2500,,기타,할인,
20210813,20210819,10050,,교통,버스 6,
20210813,,-1005,,기타,할인,
20210813,,11500,,의료,병원,
20210814,,11900,,식사,피자,
20210814,,24000,,식사,치킨,교촌치킨
20210816,,10700,,의료,병원,
20210818,,4900,,의료,병원,
20210818,,9900,,의료,약국,
20210819,,91800,,쇼핑,온라인,11번가
20210823,,7900,,의료,약국,
20210823,,21740,,생활,마트,홈플러스
20210823,,5200,,생활,마트,홈플러스
20210823,20210903,4350,,교통,버스 3,
20210823,,-435,,기타,할인,
20210823,,9800,,의료,병원,
20210825,,80000,,기타,,
20210825,,4100,41,생활,편의점,CU
20210826,,1100,11,생활,편의점,CU
20210826,,14000,,식사,닭강정,
20210827,,1900,19,생활,편의점,CU
20210827,,7700,,식사,카페,바나프레소
20210828,,6000,,식사,떡,
20210828,,9500,,식사,카페,정지영커피로스터즈
20210830,,2600,26,생활,편의점,CU
20210831,,-560,,기타,할인,
20210831,,2800,28,생활,편의점,CU
20210831,20210903,16650,,교통,지하철 10,
20210831,,5000,,식사,카페,바나프레소
