이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20200201,,5300,,식사,카페,스타벅스
20200201,,4100,,식사,카페,스타벅스
20200201,20200219,3500,,교통,지하철 2,
20200201,,28000,196,식사,한식,
20200202,,191860,,쇼핑,온라인,11번가
20200202,,-191860,,쇼핑,온라인,11번가
20200202,,4000,,식사,카페,서기커피
20200203,,12000,,식사,레스토랑,
20200203,,2000,20,식사,카페,카페7그램
20200203,,2300,23,식사,카페,카페7그램
20200204,,4300,,생활,편의점,CU
20200204,,1800,,생활,편의점,CU
20200204,,10000,,식사,한식,
20200205,,7500,,식사,디저트,
20200205,,20000,,식사,한식,
20200206,,3000,,생활,편의점,GS25
20200206,,13400,,식사,순대,
20200206,,39200,392,식사,카페,카페7그램
20200206,,2500,25,식사,카페,카페7그램
20200206,,1500,15,식사,카페,카페7그램
20200206,,17500,,식사,한식,
20200207,,4000,,생활,편의점,CU
20200207,,7000,,식사,한식,
20200207,,3200,,생활,편의점,GS25
20200208,,90000,216,문화,도서,교보문고
20200208,,-2500,,기타,할인,
20200208,,18000,,식사,치킨,CF숯불바베큐
20200208,,33990,,쇼핑,온라인,네이버
20200209,,12070,,쇼핑,온라인,위메프
20200210,,1500,15,식사,카페,카페7그램
20200210,,15000,,식사,분식,
20200210,,12400,,생활,편의점,미니스톱
20200211,,3500,,생활,편의점,CU
20200211,,14000,,식사,한식,
20200212,,16000,,식사,한식,
20200212,,1500,15,식사,카페,카페7그램
20200212,,6700,,식사,순대,
20200212,,1700,,생활,편의점,CU
20200212,,41600,,통신,,
20200213,,3000,,생활,편의점,CU
20200213,,3500,,식사,분식,
20200213,,-33990,,쇼핑,온라인,네이버
20200213,,24000,,식사,중식,
20200214,,34000,,식사,한식,
20200214,,1500,15,식사,카페,카페7그램
20200214,,-2000,,기타,할인,
20200214,20200219,56000,,교통,버스 20,
20200214,,2000,,생활,편의점,CU
20200214,,2800,,생활,편의점,CU
20200215,,8000,,기타,,
20200215,,2600,,기타,,
20200216,,15000,,식사,돈까스,
20200217,,13500,,식사,분식,
20200217,,3900,,식사,디저트,
20200218,,3500,,식사,분식,
20200218,,20000,,식사,한식,
20200219,,8600,,식사,디저트,
20200219,,8000,,식사,한식,
20200220,,118150,47,쇼핑,온라인,옥션
20200220,,7000,,식사,한식,
20200220,,1500,15,식사,카페,카페7그램
20200221,,20000,,식사,한식,
20200221,,16000,,식사,한식,
20200222,,27490,,생활,마트,홈플러스
20200223,,19000,,식사,치킨,멕시카나
20200223,,4000,,식사,햄버거,롯데리아
20200224,,2800,,생활,편의점,CU
20200224,,7500,,생활,편의점,CU
20200224,,1500,15,식사,카페,카페7그램
20200225,,18000,,식사,한식,
20200225,,4500,45,식사,카페,카페7그램
20200225,,22000,,식사,순대,
20200225,20200304,39200,,교통,버스 14,
20200225,,1500,15,식사,카페,카페7그램
20200227,,8000,,쇼핑,온라인,네이버
