이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20180701,,25500,,식사,레스토랑,
20180701,,25400,,식사,카페,커피베이
20180702,,7000,,식사,순대,
20180703,,-1980,,기타,할인,
20180703,,39600,94,문화,도서,교보문고
20180703,,-537,,기타,포인트사용,
20180703,,7500,,식사,중식,
20180703,,103400,1034,식사,피자,
20180703,,2000,,식사,카페,빽다방
20180704,,10700,,생활,마트,홈플러스
20180704,,50000,,식사,카페,스타벅스
20180704,,13000,,식사,닭강정,
20180705,,9900,,생활,마트,홈플러스
20180705,,4500,,식사,카페,메가퀸즈
20180706,,11100,,의료,한의원,
20180707,,24000,,식사,한식,
20180707,,8800,,의료,한의원,
20180708,,6500,,교통,휴게소,
20180708,,3000,,교통,휴게소,
20180710,,119600,,교통,기차,
20180710,,-119600,,교통,기차,
20180710,,92600,,교통,기차,
20180710,,10500,,의료,한의원,
20180711,,2048000,819,쇼핑,온라인,G마켓
20180711,,8000,,의료,한의원,
20180711,,11900,,식사,디저트,
20180711,,13000,,식사,닭강정,
20180712,,1400,,생활,편의점,GS25
20180712,,3800,38,식사,카페,카페7그램
20180712,,5200,,교통,기차,
20180712,,20000,,식사,한식,
20180713,,50000,,식사,카페,스타벅스
20180713,,7500,,식사,디저트,
20180714,20180718,19150,,교통,버스 14,
20180714,,15500,,식사,한식,
20180714,,18000,,식사,치킨,CF숯불바베큐
20180714,,-2000,,기타,할인,
20180714,20180718,21550,,교통,지하철 18,
20180714,,20700,,의료,한의원,
20180716,,4000,,기타,,
20180716,,19000,,식사,순대,
20180717,,17300,,의료,한의원,
20180717,,13000,,식사,닭강정,
20180718,,34300,13,쇼핑,온라인,옥션
20180718,,20000,48,문화,도서,교보문고
20180718,,-1000,,기타,할인,
20180718,,-1685,,기타,포인트사용,
20180719,,59000,,생활,마트,홈플러스
20180719,,26000,,식사,돈까스,
20180720,,10000,,식사,디저트,
20180721,,4800,,식사,카페,달콤커피
20180722,,1300,,생활,마트,웰빙마트
20180722,,6600,,생활,편의점,스토리웨이
20180722,,2000,,생활,편의점,미니스톱
20180722,,40000,,식사,족발,
20180723,,4600,,생활,편의점,CU
20180723,,4800,,문화,게임,
20180723,,4000,,문화,게임,
20180724,,9900,,식사,카페,카페디엠
20180724,,16000,,식사,한식,
20180725,,30000,72,문화,도서,교보문고
20180725,,7000,,식사,디저트,
20180725,,-1500,,기타,할인,
20180726,,2000,,의료,약국,
20180726,,4900,,식사,디저트,
20180727,,8500,,식사,카페,요거프레소
20180727,,28000,196,식사,한식,
20180728,,12000,,식사,한식,
20180731,20180803,20450,,교통,버스 9,
20180731,20180803,51300,,교통,지하철 26,
20180731,,23000,,식사,베트남식,
