이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20180102,,1500,,생활,편의점,세븐일레븐
20180102,,4500,,식사,한식,
20180103,,3200,,의료,병원,
20180103,,3300,,의료,약국,
20180103,,1500,,생활,편의점,세븐일레븐
20180104,,1500,,생활,편의점,세븐일레븐
20180105,,5940,,기타,,
20180105,,9400,,식사,카페,할리스
20180106,,23100,,식사,카페,카페디엠
20180107,,13900,,생활,마트,홈플러스
20180107,,9500,,식사,떡볶이,
20180107,,11800,,식사,순대,
20180108,,4500,,식사,한식,
20180108,,19000,,식사,한식,
20180109,,16000,,식사,구이,
20180110,,6000,,식사,중식,
20180111,,2000,,생활,편의점,세븐일레븐
20180111,,4500,,식사,한식,
20180112,20180118,17000,,교통,지하철 19,
20180112,,-1700,,기타,할인,
20180112,,24000,,식사,한식,
20180113,,16000,,식사,한식,
20180113,,20000,,식사,치킨,호식이두마리
20180114,,5000,,식사,카페,메가퀸즈
20180115,,4500,,식사,한식,
20180115,,300,,생활,SMS,
20180115,20180118,36100,,교통,버스 20,
20180115,,-300,,기타,할인,
20180116,,6000,60,식사,한식,
20180117,,4500,,식사,한식,
20180118,,6000,,식사,한식,
20180120,,16500,,식사,중식,
20180121,,3000,,식사,카페,메가퀸즈
20180121,,13500,,식사,한식,
20180122,,7000,70,식사,한식,
20180123,,1800,,생활,편의점,세븐일레븐
20180124,,6500,,식사,중식,
20180125,,6000,,식사,구이,
20180126,,6000,,식사,구이,
20180127,,40000,,생활,헤어,
20180128,,8300,,식사,카페,카페디엠
20180129,,6000,,식사,구이,
20180130,,4000,,의료,약국,
20180130,,5280,,생활,마트,롯데마트
20180130,,7000,70,식사,한식,
20180130,,12000,,식사,닭강정,
20180131,20180205,45100,,교통,버스 25,
20180131,,2000,,생활,편의점,세븐일레븐
20180131,20180205,20350,,교통,지하철 23,
20180131,,6000,,식사,한식,
